Gene,comp,X,sampleA,sampleB,logFC,logCPM,PValue,FDR,prog
sCHI,01sylvtomf,Nsylvestris_NODE_32653_length_365_cov_193,Sylv85,Tom85,6.183725983,5.393164674,9.85E-05,0.000167999,sylv
sCHI,01sylvtomf,Nsylvestris_NODE_7397_length_2505_cov_84,Sylv85,Tom85,8.231770263,5.507676666,2.12E-06,1.37E-05,sylv
sCHS,01sylvtomf,Nsylvestris_NODE_15514_length_1500_cov_222,Sylv85,Tom85,4.644801962,5.872686385,0.000897348,0.001152469,sylv
sCHS,01sylvtomf,Nsylvestris_NODE_13755_length_1678_cov_225,Sylv85,Tom85,6.592244352,6.843232944,7.90E-05,0.000140827,sylv
sDFR,01sylvtomf,Nsylvestris_NODE_16810_length_1371_cov_224,Sylv85,Tom85,8.194900405,2.597432285,7.54E-07,9.45E-06,sylv
sF3'H,01sylvtomf,Nsylvestris_NODE_4292_length_3153_cov_190,Sylv85,Tom85,10.95784217,6.191681247,2.37E-06,1.44E-05,sylv
sF3H,01sylvtomf,Nsylvestris_NODE_14312_length_1619_cov_212,Sylv85,Tom85,3.955148445,8.108149922,0.000505257,0.000685688,sylv
sFLS,01sylvtomf,Nsylvestris_NODE_15824_length_1466_cov_202,Sylv85,Tom85,2.69110411,6.52985878,0.001666016,0.002036183,sylv
tAN1,01sylvtomf,Ntome_NODE_269_length_6958_cov_177,Sylv85,Tom85,-10.77102282,5.038946108,3.99E-07,8.72E-06,tomf
tAN2,01sylvtomf,Ntome_NODE_23004_length_983_cov_98,Sylv85,Tom85,-10.84230056,7.218698768,1.72E-06,1.24E-05,tomf
tANS,01sylvtomf,Ntome_NODE_458_length_6137_cov_152,Sylv85,Tom85,-8.410193165,6.582266456,4.27E-06,1.96E-05,tomf
tCHI,01sylvtomf,Ntome_NODE_12485_length_1899_cov_72,Sylv85,Tom85,-9.490817453,4.908956361,0.000539936,0.000727709,tomf
tCHI,01sylvtomf,Ntome_NODE_23712_length_942_cov_283,Sylv85,Tom85,-6.599546631,5.865454661,2.37E-05,5.75E-05,tomf
tCHS,01sylvtomf,Ntome_NODE_17155_length_1434_cov_311,Sylv85,Tom85,-9.936203784,7.474300424,3.80E-06,1.84E-05,tomf
tCHS,01sylvtomf,Ntome_NODE_11583_length_2004_cov_299,Sylv85,Tom85,-10.04018916,8.543985833,2.54E-06,1.49E-05,tomf
tDFR,01sylvtomf,Ntome_NODE_17574_length_1395_cov_290,Sylv85,Tom85,-9.375064644,6.049172692,1.83E-06,1.28E-05,tomf
tF3'H,01sylvtomf,Ntome_NODE_11705_length_1990_cov_273,Sylv85,Tom85,-5.695792781,5.472778326,3.39E-05,7.39E-05,tomf
tF3H,01sylvtomf,Ntome_NODE_35522_length_353_cov_288,Sylv85,Tom85,-11.46417457,5.241184863,1.58E-06,1.20E-05,tomf
tF3H,01sylvtomf,Ntome_NODE_37856_length_291_cov_297,Sylv85,Tom85,-10.74132809,8.281743115,0.000571219,0.000765054,tomf
tF3H,01sylvtomf,Ntome_NODE_5151_length_3044_cov_142,Sylv85,Tom85,-10.76929725,6.701507525,2.87E-06,1.58E-05,tomf
tFLS,01sylvtomf,Ntome_NODE_3232_length_3609_cov_134,Sylv85,Tom85,-8.181333256,6.678684179,3.35E-05,7.34E-05,tomf
tFLS,01sylvtomf,Ntome_NODE_4642_length_3174_cov_75,Sylv85,Tom85,-11.48459449,6.165078781,9.17E-06,3.09E-05,tomf
sANS,02tab095sylv,Nsylvestris_NODE_4044_length_3219_cov_205,TAB09585,Sylv85,3.681155532,7.437979133,5.95E-06,2.64E-05,sylv
sF3'H,02tab095sylv,Nsylvestris_NODE_4292_length_3153_cov_190,TAB09585,Sylv85,-2.867513297,6.082660094,0.000173303,0.000467553,sylv
tAN1,02tab095sylv,Ntome_NODE_269_length_6958_cov_177,TAB09585,Sylv85,10.63893456,5.042410428,6.58E-09,2.12E-06,tomf
tAN2,02tab095sylv,Ntome_NODE_23004_length_983_cov_98,TAB09585,Sylv85,10.27793362,6.819990671,1.28E-07,2.78E-06,tomf
tANS,02tab095sylv,Ntome_NODE_458_length_6137_cov_152,TAB09585,Sylv85,7.70847161,6.083514468,8.39E-07,6.99E-06,tomf
tCHI,02tab095sylv,Ntome_NODE_12485_length_1899_cov_72,TAB09585,Sylv85,8.511617521,4.015465851,3.76E-05,0.00012002,tomf
tCHI,02tab095sylv,Ntome_NODE_23712_length_942_cov_283,TAB09585,Sylv85,5.400495459,4.866907982,1.58E-06,1.04E-05,tomf
tCHS,02tab095sylv,Ntome_NODE_17155_length_1434_cov_311,TAB09585,Sylv85,7.816004689,5.579566271,2.81E-06,1.54E-05,tomf
tCHS,02tab095sylv,Ntome_NODE_11583_length_2004_cov_299,TAB09585,Sylv85,8.830467934,7.516559046,1.42E-07,2.90E-06,tomf
tDFR,02tab095sylv,Ntome_NODE_17574_length_1395_cov_290,TAB09585,Sylv85,9.204564647,6.044908059,6.05E-08,2.23E-06,tomf
tF3'H,02tab095sylv,Ntome_NODE_11705_length_1990_cov_273,TAB09585,Sylv85,5.462065962,5.48645567,1.65E-06,1.07E-05,tomf
tF3H,02tab095sylv,Ntome_NODE_35522_length_353_cov_288,TAB09585,Sylv85,10.11096995,4.022646916,3.55E-08,2.13E-06,tomf
tF3H,02tab095sylv,Ntome_NODE_37856_length_291_cov_297,TAB09585,Sylv85,9.317342545,7.01655224,0.000192613,0.000514843,tomf
tF3H,02tab095sylv,Ntome_NODE_5151_length_3044_cov_142,TAB09585,Sylv85,9.190689175,5.36247798,3.04E-07,4.01E-06,tomf
tFLS,02tab095sylv,Ntome_NODE_3232_length_3609_cov_134,TAB09585,Sylv85,4.930558371,3.627968415,2.10E-05,7.29E-05,tomf
tFLS,02tab095sylv,Ntome_NODE_4642_length_3174_cov_75,TAB09585,Sylv85,8.068501362,2.935059014,2.32E-06,1.34E-05,tomf
sANS,03tabChusylv,Nsylvestris_NODE_4044_length_3219_cov_205,TABC85,Sylv85,4.552676192,8.307385171,3.48E-06,1.83E-05,sylv
sCHS,03tabChusylv,Nsylvestris_NODE_15514_length_1500_cov_222,TABC85,Sylv85,2.270010887,7.722815703,0.002028389,0.00448843,sylv
sCHS,03tabChusylv,Nsylvestris_NODE_13755_length_1678_cov_225,TABC85,Sylv85,2.657719901,9.175567844,1.89E-05,6.80E-05,sylv
tAN1,03tabChusylv,Ntome_NODE_269_length_6958_cov_177,TABC85,Sylv85,11.0540691,5.519262654,2.81E-08,2.71E-06,tomf
tAN2,03tabChusylv,Ntome_NODE_23004_length_983_cov_98,TABC85,Sylv85,11.11411334,7.73339822,4.83E-07,5.46E-06,tomf
tANS,03tabChusylv,Ntome_NODE_458_length_6137_cov_152,TABC85,Sylv85,8.720187087,7.133936955,3.43E-07,4.65E-06,tomf
tCHI,03tabChusylv,Ntome_NODE_12485_length_1899_cov_72,TABC85,Sylv85,9.231693464,4.808392019,2.16E-05,7.59E-05,tomf
tCHI,03tabChusylv,Ntome_NODE_23712_length_942_cov_283,TABC85,Sylv85,6.086749297,5.574755013,9.78E-07,8.08E-06,tomf
tCHS,03tabChusylv,Ntome_NODE_17155_length_1434_cov_311,TABC85,Sylv85,9.929208469,7.689731639,1.45E-07,3.26E-06,tomf
tCHS,03tabChusylv,Ntome_NODE_11583_length_2004_cov_299,TABC85,Sylv85,10.33390785,9.054423603,3.84E-08,2.71E-06,tomf
tDFR,03tabChusylv,Ntome_NODE_17574_length_1395_cov_290,TABC85,Sylv85,9.232712692,6.139490789,5.11E-07,5.61E-06,tomf
tF3'H,03tabChusylv,Ntome_NODE_11705_length_1990_cov_273,TABC85,Sylv85,5.163096045,5.231347225,4.37E-06,2.16E-05,tomf
tF3H,03tabChusylv,Ntome_NODE_35522_length_353_cov_288,TABC85,Sylv85,11.59283542,5.504218414,2.69E-09,2.71E-06,tomf
tF3H,03tabChusylv,Ntome_NODE_37856_length_291_cov_297,TABC85,Sylv85,10.65805361,8.334000782,6.28E-05,0.000190401,tomf
tF3H,03tabChusylv,Ntome_NODE_5151_length_3044_cov_142,TABC85,Sylv85,10.48131592,6.716863877,2.87E-07,4.26E-06,tomf
tFLS,03tabChusylv,Ntome_NODE_3232_length_3609_cov_134,TABC85,Sylv85,6.972129731,5.649118764,2.39E-06,1.42E-05,tomf
tFLS,03tabChusylv,Ntome_NODE_4642_length_3174_cov_75,TABC85,Sylv85,10.42444181,5.29376817,2.79E-07,4.19E-06,tomf
sANS,04QM24sylv,Nsylvestris_NODE_4044_length_3219_cov_205,QM2485,Sylv85,2.332145858,6.271818188,0.00010405,0.000312981,sylv
sDFR,04QM24sylv,Nsylvestris_NODE_16810_length_1371_cov_224,QM2485,Sylv85,3.486100885,5.63523668,8.75E-07,7.73E-06,sylv
tAN1,04QM24sylv,Ntome_NODE_269_length_6958_cov_177,QM2485,Sylv85,8.322674912,2.73226749,5.79E-08,2.13E-06,tomf
tAN2,04QM24sylv,Ntome_NODE_23004_length_983_cov_98,QM2485,Sylv85,8.621644171,5.164529304,1.49E-07,2.96E-06,tomf
tANS,04QM24sylv,Ntome_NODE_458_length_6137_cov_152,QM2485,Sylv85,6.710846765,5.122507392,2.87E-06,1.70E-05,tomf
tCHI,04QM24sylv,Ntome_NODE_12485_length_1899_cov_72,QM2485,Sylv85,8.093735487,3.531310768,7.79E-05,0.000242222,tomf
tCHI,04QM24sylv,Ntome_NODE_23712_length_942_cov_283,QM2485,Sylv85,5.774687893,5.262876655,1.75E-06,1.22E-05,tomf
tCHS,04QM24sylv,Ntome_NODE_17155_length_1434_cov_311,QM2485,Sylv85,8.973571354,6.69312402,7.72E-08,2.30E-06,tomf
tCHS,04QM24sylv,Ntome_NODE_11583_length_2004_cov_299,QM2485,Sylv85,9.426515778,8.135741251,5.61E-08,2.13E-06,tomf
tDFR,04QM24sylv,Ntome_NODE_17574_length_1395_cov_290,QM2485,Sylv85,8.792795333,5.656298589,5.82E-08,2.13E-06,tomf
tF3'H,04QM24sylv,Ntome_NODE_11705_length_1990_cov_273,QM2485,Sylv85,4.774607264,4.844165582,1.14E-05,4.77E-05,tomf
tF3H,04QM24sylv,Ntome_NODE_35522_length_353_cov_288,QM2485,Sylv85,11.60762839,5.487982433,1.50E-09,1.81E-06,tomf
tF3H,04QM24sylv,Ntome_NODE_37856_length_291_cov_297,QM2485,Sylv85,9.747615779,7.444890206,0.000150669,0.0004349,tomf
tF3H,04QM24sylv,Ntome_NODE_5151_length_3044_cov_142,QM2485,Sylv85,10.0339155,6.163050985,7.04E-08,2.25E-06,tomf
tFLS,04QM24sylv,Ntome_NODE_3232_length_3609_cov_134,QM2485,Sylv85,7.13852834,5.770880125,4.27E-07,5.06E-06,tomf
tFLS,04QM24sylv,Ntome_NODE_4642_length_3174_cov_75,QM2485,Sylv85,10.70845016,5.527421995,2.74E-07,4.01E-06,tomf
sANS,05QM25sylv,Nsylvestris_NODE_4044_length_3219_cov_205,QM2585,Sylv85,3.193780747,6.912702425,8.58E-05,0.000258839,sylv
sDFR,05QM25sylv,Nsylvestris_NODE_16810_length_1371_cov_224,QM2585,Sylv85,3.983389877,5.988553009,9.01E-06,3.80E-05,sylv
sF3'5'H,05QM25sylv,Nsylvestris_NODE_12917_length_1772_cov_200,QM2585,Sylv85,6.26871006,0.080939933,8.88E-06,3.75E-05,sylv
tAN1,05QM25sylv,Ntome_NODE_269_length_6958_cov_177,QM2585,Sylv85,9.347838759,3.59916982,2.85E-08,1.73E-06,tomf
tAN2,05QM25sylv,Ntome_NODE_23004_length_983_cov_98,QM2585,Sylv85,8.745952393,5.254753357,6.77E-06,3.04E-05,tomf
tANS,05QM25sylv,Ntome_NODE_458_length_6137_cov_152,QM2585,Sylv85,7.624263365,5.956571115,3.23E-05,0.000109929,tomf
tCHI,05QM25sylv,Ntome_NODE_12485_length_1899_cov_72,QM2585,Sylv85,7.803792764,3.23222688,0.000172727,0.000484546,tomf
tCHI,05QM25sylv,Ntome_NODE_23712_length_942_cov_283,QM2585,Sylv85,5.920295074,5.263421053,6.27E-06,2.87E-05,tomf
tCHS,05QM25sylv,Ntome_NODE_17155_length_1434_cov_311,QM2585,Sylv85,8.808898174,6.393058211,4.69E-07,5.18E-06,tomf
tCHS,05QM25sylv,Ntome_NODE_11583_length_2004_cov_299,QM2585,Sylv85,9.409734872,7.941825177,5.61E-08,2.03E-06,tomf
tDFR,05QM25sylv,Ntome_NODE_17574_length_1395_cov_290,QM2585,Sylv85,9.147412576,5.854966164,2.76E-07,3.87E-06,tomf
tF3'H,05QM25sylv,Ntome_NODE_11705_length_1990_cov_273,QM2585,Sylv85,5.111871336,5.023750332,6.80E-06,3.05E-05,tomf
tF3H,05QM25sylv,Ntome_NODE_35522_length_353_cov_288,QM2585,Sylv85,11.23812105,4.997407863,2.81E-08,1.73E-06,tomf
tF3H,05QM25sylv,Ntome_NODE_37856_length_291_cov_297,QM2585,Sylv85,9.656935091,7.247216432,0.000194015,0.000538348,tomf
tF3H,05QM25sylv,Ntome_NODE_5151_length_3044_cov_142,QM2585,Sylv85,9.850644029,5.847778638,2.08E-07,3.32E-06,tomf
tFLS,05QM25sylv,Ntome_NODE_3232_length_3609_cov_134,QM2585,Sylv85,6.768360094,5.242002353,1.15E-06,8.79E-06,tomf
tFLS,05QM25sylv,Ntome_NODE_4642_length_3174_cov_75,QM2585,Sylv85,10.42640904,5.118823508,5.89E-07,5.85E-06,tomf
sANS,06tab095tomf,Nsylvestris_NODE_4044_length_3219_cov_205,TAB09585,Tom85,5.988783697,7.579582646,2.76E-06,3.17E-05,sylv
sCHI,06tab095tomf,Nsylvestris_NODE_32653_length_365_cov_193,TAB09585,Tom85,7.423438079,5.844434128,2.71E-05,0.000122805,sylv
sCHI,06tab095tomf,Nsylvestris_NODE_7397_length_2505_cov_84,TAB09585,Tom85,9.347144701,5.942422316,1.84E-06,2.71E-05,sylv
sCHS,06tab095tomf,Nsylvestris_NODE_15514_length_1500_cov_222,TAB09585,Tom85,4.432337317,4.795504724,0.000287411,0.000834292,sylv
sCHS,06tab095tomf,Nsylvestris_NODE_13755_length_1678_cov_225,TAB09585,Tom85,8.400073137,7.988464355,5.26E-06,4.28E-05,sylv
sDFR,06tab095tomf,Nsylvestris_NODE_16810_length_1371_cov_224,TAB09585,Tom85,10.17156393,3.93079907,3.12E-06,3.33E-05,sylv
sF3'H,06tab095tomf,Nsylvestris_NODE_4292_length_3153_cov_190,TAB09585,Tom85,8.431213304,3.062307891,6.53E-05,0.000239253,sylv
