Species,dev,gene,prog_ratio,prog_ratio_bias,poly_homeolog_ratio,homeolog_ratio_bias
QM24a,60,AN1,0.237996196,tomf,0.402397142,tomf
QM25a,60,AN1,0.237996196,tomf,0.380992816,tomf
tab095a,60,AN1,0.237996196,tomf,0.259365328,tomf
tabChu,60,AN1,0.237996196,tomf,0.263393225,tomf
QM24a,85,AN1,0.187168112,tomf,0.485607215,tomf
QM25a,85,AN1,0.187168112,tomf,0.331229341,tomf
tab095a,85,AN1,0.187168112,tomf,0.312337881,tomf
tabChu,85,AN1,0.187168112,tomf,0.363108254,tomf
QM24a,95,AN1,0.21152227,tomf,0.537676006,sylv
QM25a,95,AN1,0.21152227,tomf,0.40629419,tomf
tab095a,95,AN1,0.21152227,tomf,0.332408344,tomf
tabChu,95,AN1,0.21152227,tomf,0.365859596,tomf
QM24a,60,ANS,0.122329773,tomf,0.620458957,sylv
QM25a,60,ANS,0.122329773,tomf,0.744411176,sylv
tab095a,60,ANS,0.122329773,tomf,0.716715035,sylv
tabChu,60,ANS,0.122329773,tomf,0.759904507,sylv
QM24a,85,ANS,0.12405866,tomf,0.657705842,sylv
QM25a,85,ANS,0.12405866,tomf,0.644530515,sylv
tab095a,85,ANS,0.12405866,tomf,0.695994216,sylv
tabChu,85,ANS,0.12405866,tomf,0.654813374,sylv
QM24a,95,ANS,0.156768526,tomf,0.683659863,sylv
QM25a,95,ANS,0.156768526,tomf,0.647807081,sylv
tab095a,95,ANS,0.156768526,tomf,0.695438351,sylv
tabChu,95,ANS,0.156768526,tomf,0.753739473,sylv
QM24a,60,CHI,0.392004868,tomf,0.521920626,sylv
QM25a,60,CHI,0.392004868,tomf,0.467557508,tomf
tab095a,60,CHI,0.392004868,tomf,0.60505293,sylv
tabChu,60,CHI,0.392004868,tomf,0.589783433,sylv
QM24a,85,CHI,0.397722426,tomf,0.486460826,tomf
QM25a,85,CHI,0.397722426,tomf,0.50541955,sylv
tab095a,85,CHI,0.397722426,tomf,0.687142442,sylv
tabChu,85,CHI,0.397722426,tomf,0.692346047,sylv
QM24a,95,CHI,0.505295204,sylv,0.433756385,tomf
QM25a,95,CHI,0.505295204,sylv,0.474866582,tomf
tab095a,95,CHI,0.505295204,sylv,0.630972101,sylv
tabChu,95,CHI,0.505295204,sylv,0.58509781,sylv
QM24a,60,CHS1,0.187460956,tomf,0.383263073,tomf
QM25a,60,CHS1,0.187460956,tomf,0.444213928,tomf
tab095a,60,CHS1,0.187460956,tomf,0.500569375,sylv
tabChu,60,CHS1,0.187460956,tomf,0.369273555,tomf
QM24a,85,CHS1,0.177341242,tomf,0.389239002,tomf
QM25a,85,CHS1,0.177341242,tomf,0.454351516,tomf
tab095a,85,CHS1,0.177341242,tomf,0.331525247,tomf
tabChu,85,CHS1,0.177341242,tomf,0.409557158,tomf
QM24a,95,CHS1,0.26972909,tomf,0.381456886,tomf
QM25a,95,CHS1,0.26972909,tomf,0.505967913,sylv
tab095a,95,CHS1,0.26972909,tomf,0.440627813,tomf
tabChu,95,CHS1,0.26972909,tomf,0.426150016,tomf
