Dev,Species,Abbrev,percsylv,Dev,Species,percsylv
60,sylv,Sylv60A,0.995349856,60,prog ratio,0.237996196
60,sylv,Sylv60B,0.999999993,60,sylv,0.995349856
60,sylv,Sylv60C,0.991459106,60,QM24,0.402397142
60,QM24,QM2460A,0.393345979,60,QM25,0.380992816
60,QM24,QM2460C,0.411448305,60,tab095,0.259365328
60,QM25,QM2560A,0.380992816,60,tabChu,0.263393225
60,QM25,QM2560B,0.375466997,60,tomf,0.125442739
60,QM25,QM2560C,0.448358347,85,prog ratio,0.187168112
60,tab095,TAB09560A,0.22494999,85,sylv,0.999999992
60,tab095,TAB09560B,0.293077157,85,QM24,0.485607215
60,tab095,TAB09560C,0.259365328,85,QM25,0.331229341
60,tabChu,TABC60A,0.263393225,85,tab095,0.312337881
60,tabChu,TABC60B,0.343864468,85,tabChu,0.363108254
60,tabChu,TABC60C,0.256055148,85,tomf,0.122311844
60,tomf,Tom60A,0.125442739,95,prog ratio,0.21152227
60,tomf,Tom60B,0.142939977,95,sylv,0.99543317
60,tomf,Tom60C,0.094872704,95,QM24,0.537676006
85,sylv,Sylv85A,0.999999992,95,QM25,0.40629419
85,sylv,Sylv85B,0.997530857,95,tab095,0.332408344
85,sylv,Sylv85C,0.999999992,95,tabChu,0.365859596
85,QM24,QM2485A,0.485607215,95,tomf,0.110876877
85,QM24,QM2485B,0.458791478,,,
85,QM24,QM2485C,0.580149675,,,
85,QM25,QM2585A,0.331229341,,,
85,QM25,QM2585B,0.318982535,,,
85,QM25,QM2585C,0.37353409,,,
85,tab095,TAB09585A,0.287037513,,,
85,tab095,TAB09585B,0.324025618,,,
85,tab095,TAB09585C,0.312337881,,,
85,tabChu,TABC85A,0.363108254,,,
85,tabChu,TABC85B,0.338496855,,,
85,tabChu,TABC85C,0.3868385,,,
85,tomf,Tom85B,0.155580241,,,
85,tomf,Tom85C,0.089043446,,,
95,sylv,Sylv95A,0.99543317,,,
95,sylv,Sylv95B,0.991816809,,,
95,sylv,Sylv95C,0.999999994,,,
95,QM24,QM2495A,0.535827176,,,
95,QM24,QM2495B,0.539524837,,,
95,QM25,QM2595A,0.40629419,,,
95,QM25,QM2595B,0.446339458,,,
95,QM25,QM2595C,0.33277595,,,
95,tab095,TAB09595A,0.332408344,,,
95,tab095,TAB09595B,0.329757462,,,
95,tab095,TAB09595C,0.343962272,,,
95,tabChu,TABC95A,0.316504519,,,
95,tabChu,TABC95B,0.379869093,,,
95,tabChu,TABC95C,0.365859596,,,
95,tomf,Tom95A,0.110876877,,,
95,tomf,Tom95B,0.131329236,,,
95,tomf,Tom95C,0.106910591,,,
95,prog ratio,,,,,
