Dev,Species,Abbrev,TMMsum,Dev,Species,TMMsum
60,sylv,Sylv60A,3.665,60,sylv,3.665
60,sylv,Sylv60B,2.418,60,QM24,8.8575
60,sylv,Sylv60C,5.201,60,QM25,40.08
60,QM24,QM2460A,10.888,60,tab095,77.962
60,QM24,QM2460C,6.827,60,tabChu,15.113
60,QM25,QM2560A,40.08,60,tomf,27.071
60,QM25,QM2560B,34.542,85,sylv,22.905
60,QM25,QM2560C,57.087,85,QM24,212.389
60,tab095,TAB09560A,77.962,85,QM25,372.046
60,tab095,TAB09560B,220.873,85,tab095,477.06
60,tab095,TAB09560C,62.346,85,tabChu,1065.583
60,tabChu,TABC60A,15.113,85,tomf,163.7405
60,tabChu,TABC60B,19.688,95,sylv,34.078
60,tabChu,TABC60C,9.778,95,QM24,590.846
60,tomf,Tom60A,27.071,95,QM25,742.116
60,tomf,Tom60B,27.173,95,tab095,625.228
60,tomf,Tom60C,18.004,95,tabChu,769.226
85,sylv,Sylv85A,15.965,95,tomf,189.168
85,sylv,Sylv85B,22.905,,,
85,sylv,Sylv85C,34.718,,,
85,QM24,QM2485A,212.389,,,
85,QM24,QM2485B,200.056,,,
85,QM24,QM2485C,268.312,,,
85,QM25,QM2585A,372.046,,,
85,QM25,QM2585B,246.305,,,
85,QM25,QM2585C,667.7,,,
85,tab095,TAB09585A,385.917,,,
85,tab095,TAB09585B,477.06,,,
85,tab095,TAB09585C,589.325,,,
85,tabChu,TABC85A,1065.583,,,
85,tabChu,TABC85B,647.084,,,
85,tabChu,TABC85C,1071.45,,,
85,tomf,Tom85B,188.303,,,
85,tomf,Tom85C,139.178,,,
95,sylv,Sylv95A,21.117,,,
95,sylv,Sylv95B,34.078,,,
95,sylv,Sylv95C,104.287,,,
95,QM24,QM2495A,685.911,,,
95,QM24,QM2495B,495.781,,,
95,QM25,QM2595A,949.46,,,
95,QM25,QM2595B,742.116,,,
95,QM25,QM2595C,509.628,,,
95,tab095,TAB09595A,625.228,,,
95,tab095,TAB09595B,588.806,,,
95,tab095,TAB09595C,837.548,,,
95,tabChu,TABC95A,543.445,,,
95,tabChu,TABC95B,769.226,,,
95,tabChu,TABC95C,1144.189,,,
95,tomf,Tom95A,157.354,,,
95,tomf,Tom95B,425.373,,,
95,tomf,Tom95C,189.168,,,
