Dev,Species,Abbrev,percsylv,Dev,Species,percsylv
60,sylv,Sylv60A,1,60,prog ratio,0.122329773
60,sylv,Sylv60B,0.93672,60,sylv,0.954816363
60,sylv,Sylv60C,0.95482,60,QM24,0.620458957
60,QM24,QM2460A,0.681667885,60,QM25,0.744411176
60,QM24,QM2460C,0.559250028,60,tab095,0.716715035
60,QM25,QM2560A,0.744411176,60,tabChu,0.759904507
60,QM25,QM2560B,0.775924959,60,tomf,0.02888247
60,QM25,QM2560C,0.728204318,85,prog ratio,0.12405866
60,tab095,TAB09560A,0.700815781,85,sylv,0.968834607
60,tab095,TAB09560B,0.716715035,85,QM24,0.657705842
60,tab095,TAB09560C,0.718153529,85,QM25,0.644530515
60,tabChu,TABC60A,0.864355185,85,tab095,0.695994216
60,tabChu,TABC60B,0.759904507,85,tabChu,0.654813374
60,tabChu,TABC60C,0.726938017,85,tomf,0.027837556
60,tomf,Tom60A,0.020095305,95,prog ratio,0.156768526
60,tomf,Tom60B,0.032311486,95,sylv,0.978118077
60,tomf,Tom60C,0.02888247,95,QM24,0.683659863
85,sylv,Sylv85A,0.968117752,95,QM25,0.647807081
85,sylv,Sylv85B,0.983889976,95,tab095,0.695438351
85,sylv,Sylv85C,0.968834607,95,tabChu,0.753739473
85,QM24,QM2485A,0.661790394,95,tomf,0.054622062
85,QM24,QM2485B,0.657705842,,,
85,QM24,QM2485C,0.603510093,,,
85,QM25,QM2585A,0.644530515,,,
85,QM25,QM2585B,0.667095674,,,
85,QM25,QM2585C,0.601601018,,,
85,tab095,TAB09585A,0.695994216,,,
85,tab095,TAB09585B,0.685140234,,,
85,tab095,TAB09585C,0.7138998,,,
85,tabChu,TABC85A,0.654813374,,,
85,tabChu,TABC85B,0.622455508,,,
85,tabChu,TABC85C,0.745644687,,,
85,tomf,Tom85B,0.030376574,,,
85,tomf,Tom85C,0.025298539,,,
95,sylv,Sylv95A,0.981484108,,,
95,sylv,Sylv95B,0.969804563,,,
95,sylv,Sylv95C,0.978118077,,,
95,QM24,QM2495A,0.723846097,,,
95,QM24,QM2495B,0.64347363,,,
95,QM25,QM2595A,0.597050955,,,
95,QM25,QM2595B,0.647807081,,,
95,QM25,QM2595C,0.660583798,,,
95,tab095,TAB09595A,0.680997972,,,
95,tab095,TAB09595B,0.702448684,,,
95,tab095,TAB09595C,0.695438351,,,
95,tabChu,TABC95A,0.702520034,,,
95,tabChu,TABC95B,0.753739473,,,
95,tabChu,TABC95C,0.774881597,,,
95,tomf,Tom95A,0.054622062,,,
95,tomf,Tom95B,0.048674928,,,
95,tomf,Tom95C,0.060279751,,,
95,prog ratio,,,,,
