Dev,Species,Abbrev,TMMsum,Dev,Species,TMMsum
60,sylv,Sylv60A,90.995,60,sylv,105.382
60,sylv,Sylv60B,106.767,60,QM24,339.443
60,sylv,Sylv60C,105.382,60,QM25,339.414
60,QM24,QM2460A,343.074,60,tab095,152.374
60,QM24,QM2460C,335.812,60,tabChu,347.64
60,QM25,QM2560A,291.108,60,tomf,161.21
60,QM25,QM2560B,339.414,85,sylv,97.955
60,QM25,QM2560C,372.906,85,QM24,250.68
60,tab095,TAB09560A,152.374,85,QM25,197.321
60,tab095,TAB09560B,169.427,85,tab095,312.301
60,tab095,TAB09560C,147.835,85,tabChu,493.366
60,tabChu,TABC60A,328.545,85,tomf,146.284
60,tabChu,TABC60B,398.353,95,sylv,126.533
60,tabChu,TABC60C,347.64,95,QM24,299.8005
60,tomf,Tom60A,161.21,95,QM25,342.038
60,tomf,Tom60B,194.843,95,tab095,371.669
60,tomf,Tom60C,160.86,95,tabChu,294.091
85,sylv,Sylv85A,93.11,95,tomf,123.2
85,sylv,Sylv85B,97.955,,,
85,sylv,Sylv85C,133.244,,,
85,QM24,QM2485A,258.19,,,
85,QM24,QM2485B,250.68,,,
85,QM24,QM2485C,174.236,,,
85,QM25,QM2585A,197.321,,,
85,QM25,QM2585B,182.672,,,
85,QM25,QM2585C,349.023,,,
85,tab095,TAB09585A,290.29,,,
85,tab095,TAB09585B,312.301,,,
85,tab095,TAB09585C,323.374,,,
85,tabChu,TABC85A,747.232,,,
85,tabChu,TABC85B,493.366,,,
85,tabChu,TABC85C,388.442,,,
85,tomf,Tom85B,112.946,,,
85,tomf,Tom85C,179.622,,,
95,sylv,Sylv95A,49.213,,,
95,sylv,Sylv95B,126.533,,,
95,sylv,Sylv95C,263.268,,,
95,QM24,QM2495A,267.071,,,
95,QM24,QM2495B,332.53,,,
95,QM25,QM2595A,361.272,,,
95,QM25,QM2595B,328.074,,,
95,QM25,QM2595C,342.038,,,
95,tab095,TAB09595A,371.669,,,
95,tab095,TAB09595B,367.04,,,
95,tab095,TAB09595C,574.1,,,
95,tabChu,TABC95A,294.091,,,
95,tabChu,TABC95B,293.984,,,
95,tabChu,TABC95C,346.803,,,
95,tomf,Tom95A,95.528,,,
95,tomf,Tom95B,136.307,,,
95,tomf,Tom95C,123.2,,,
