Dev,Species,Abbrev,percsylv,Dev,Species,percsylv
60,sylv,Sylv60A,0.98492,60,prog ratio,0.392004868
60,sylv,Sylv60B,0.98796,60,sylv,0.984922247
60,sylv,Sylv60C,0.98422,60,QM24,0.521920626
60,QM24,QM2460A,0.512886433,60,QM25,0.467557508
60,QM24,QM2460C,0.53095482,60,tab095,0.60505293
60,QM25,QM2560A,0.459911785,60,tabChu,0.589783433
60,QM25,QM2560B,0.548348035,60,tomf,0.002598533
60,QM25,QM2560C,0.467557508,85,prog ratio,0.397722426
60,tab095,TAB09560A,0.634182997,85,sylv,0.987053825
60,tab095,TAB09560B,0.594769428,85,QM24,0.486460826
60,tab095,TAB09560C,0.60505293,85,QM25,0.50541955
60,tabChu,TABC60A,0.622246572,85,tab095,0.687142442
60,tabChu,TABC60B,0.589783433,85,tabChu,0.692346047
60,tabChu,TABC60C,0.530413646,85,tomf,0.007010201
60,tomf,Tom60A,0.00212766,95,prog ratio,0.505295204
60,tomf,Tom60B,0.003166652,95,sylv,0.983790789
60,tomf,Tom60C,0.002598533,95,QM24,0.433756385
85,sylv,Sylv85A,0.990913972,95,QM25,0.474866582
85,sylv,Sylv85B,0.980491041,95,tab095,0.630972101
85,sylv,Sylv85C,0.987053825,95,tabChu,0.58509781
85,QM24,QM2485A,0.523645377,95,tomf,0.010771104
85,QM24,QM2485B,0.486460826,,,
85,QM24,QM2485C,0.469145297,,,
85,QM25,QM2585A,0.529502688,,,
85,QM25,QM2585B,0.50541955,,,
85,QM25,QM2585C,0.4888589,,,
85,tab095,TAB09585A,0.682710393,,,
85,tab095,TAB09585B,0.700029779,,,
85,tab095,TAB09585C,0.687142442,,,
85,tabChu,TABC85A,0.734587116,,,
85,tabChu,TABC85B,0.692346047,,,
85,tabChu,TABC85C,0.68765221,,,
85,tomf,Tom85B,0.012483842,,,
85,tomf,Tom85C,0.00153656,,,
95,sylv,Sylv95A,0.983662851,,,
95,sylv,Sylv95B,0.983790789,,,
95,sylv,Sylv95C,0.987279122,,,
95,QM24,QM2495A,0.376678861,,,
95,QM24,QM2495B,0.49083391,,,
95,QM25,QM2595A,0.474866582,,,
95,QM25,QM2595B,0.539308205,,,
95,QM25,QM2595C,0.442901081,,,
95,tab095,TAB09595A,0.64656186,,,
95,tab095,TAB09595B,0.630972101,,,
95,tab095,TAB09595C,0.619601115,,,
95,tabChu,TABC95A,0.58509781,,,
95,tabChu,TABC95B,0.557669805,,,
95,tabChu,TABC95C,0.622425411,,,
95,tomf,Tom95A,0.01874843,,,
95,tomf,Tom95B,0.006133214,,,
95,tomf,Tom95C,0.010771104,,,
95,prog ratio,,,,,
