Dev,Species,Abbrev,TMMsum,Dev,Species,TMMsum
60,sylv,Sylv60A,82.996,60,sylv,172.244
60,sylv,Sylv60B,243.461,60,QM24,1120.283
60,sylv,Sylv60C,172.244,60,QM25,1375.651
60,QM24,QM2460A,1182.106,60,tab095,664.322
60,QM24,QM2460C,1058.46,60,tabChu,1354.804
60,QM25,QM2560A,1375.651,60,tomf,704.508
60,QM25,QM2560B,920.105,85,sylv,213.678
60,QM25,QM2560C,1510.869,85,QM24,1605.389
60,tab095,TAB09560A,361.318,85,QM25,1616.074
60,tab095,TAB09560B,690.965,85,tab095,1100.461
60,tab095,TAB09560C,664.322,85,tabChu,2571.878
60,tabChu,TABC60A,1010.798,85,tomf,921.9345
60,tabChu,TABC60B,1354.804,95,sylv,309.158
60,tabChu,TABC60C,1376.173,95,QM24,1703.9795
60,tomf,Tom60A,898.453,95,QM25,1486.632
60,tomf,Tom60B,704.508,95,tab095,1800.557
60,tomf,Tom60C,694.084,95,tabChu,1964.07
85,sylv,Sylv85A,137.345,95,tomf,1081.587
85,sylv,Sylv85B,278.455,,,
85,sylv,Sylv85C,213.678,,,
85,QM24,QM2485A,1619.196,,,
85,QM24,QM2485B,1605.389,,,
85,QM24,QM2485C,1356.681,,,
85,QM25,QM2585A,1616.074,,,
85,QM25,QM2585B,1151.194,,,
85,QM25,QM2585C,1722.903,,,
85,tab095,TAB09585A,798.228,,,
85,tab095,TAB09585B,1101.276,,,
85,tab095,TAB09585C,1100.461,,,
85,tabChu,TABC85A,3669.525,,,
85,tabChu,TABC85B,2504.589,,,
85,tabChu,TABC85C,2571.878,,,
85,tomf,Tom85B,769.317,,,
85,tomf,Tom85C,1074.552,,,
95,sylv,Sylv95A,144.693,,,
95,sylv,Sylv95B,309.158,,,
95,sylv,Sylv95C,390.787,,,
95,QM24,QM2495A,1573.593,,,
95,QM24,QM2495B,1834.366,,,
95,QM25,QM2595A,1486.632,,,
95,QM25,QM2595B,1744.48,,,
95,QM25,QM2595C,1029.014,,,
95,tab095,TAB09595A,1800.557,,,
95,tab095,TAB09595B,1688.604,,,
95,tab095,TAB09595C,2105.305,,,
95,tabChu,TABC95A,1964.07,,,
95,tabChu,TABC95B,1881.168,,,
95,tabChu,TABC95C,2567.892,,,
95,tomf,Tom95A,1081.587,,,
95,tomf,Tom95B,1374.452,,,
95,tomf,Tom95C,947.121,,,
