Dev,Species,Abbrev,Gene,TMMsum,Dev,Species,Gene,TMMsum
60,sylv,Sylv60A,DFR,1.315,60,sylv,DFR,2.673
60,sylv,Sylv60B,DFR,2.828,85,sylv,DFR,7.591
60,sylv,Sylv60C,DFR,2.673,95,sylv,DFR,6.846
85,sylv,Sylv85A,DFR,7.591,60,sylv,FLS,120.44
85,sylv,Sylv85B,DFR,6.617,85,sylv,FLS,117.763
85,sylv,Sylv85C,DFR,8.652,95,sylv,FLS,123.453
95,sylv,Sylv95A,DFR,4.327,60,sylv,F3pH,78.274
95,sylv,Sylv95B,DFR,6.846,85,sylv,F3pH,93.423
95,sylv,Sylv95C,DFR,11.139,95,sylv,F3pH,112.493
60,sylv,Sylv60A,FLS,92.704,,,,
60,sylv,Sylv60B,FLS,135.114,,,,
60,sylv,Sylv60C,FLS,120.44,,,,
85,sylv,Sylv85A,FLS,75.875,,,,
85,sylv,Sylv85B,FLS,117.763,,,,
85,sylv,Sylv85C,FLS,119.872,,,,
95,sylv,Sylv95A,FLS,67.407,,,,
95,sylv,Sylv95B,FLS,123.453,,,,
95,sylv,Sylv95C,FLS,213.61,,,,
60,sylv,Sylv60A,F3pH,35.996,,,,
60,sylv,Sylv60B,F3pH,78.274,,,,
60,sylv,Sylv60C,F3pH,92.246,,,,
85,sylv,Sylv85A,F3pH,64.893,,,,
85,sylv,Sylv85B,F3pH,114.715,,,,
85,sylv,Sylv85C,F3pH,93.423,,,,
95,sylv,Sylv95A,F3pH,63.08,,,,
95,sylv,Sylv95B,F3pH,125,,,,
95,sylv,Sylv95C,F3pH,112.493,,,,
