Dev,Species,Abbrev,Gene,TMMsum,Dev,Species,Gene,TMMsum
60,tab095,TAB09560A,DFR,35.966,60,tab095,DFR,35.966
60,tab095,TAB09560B,DFR,102.857,85,tab095,DFR,129.822
60,tab095,TAB09560C,DFR,23.724,95,tab095,DFR,79.563
85,tab095,TAB09585A,DFR,129.267,60,tab095,FLS,144.018
85,tab095,TAB09585B,DFR,129.822,85,tab095,FLS,83.649
85,tab095,TAB09585C,DFR,167.005,95,tab095,FLS,101.159
95,tab095,TAB09595A,DFR,50.404,60,tab095,F3pH,121.968
95,tab095,TAB09595B,DFR,79.563,85,tab095,F3pH,117.889
95,tab095,TAB09595C,DFR,82.268,95,tab095,F3pH,78.191
60,tab095,TAB09560A,FLS,93.356,,,,
60,tab095,TAB09560B,FLS,144.018,,,,
60,tab095,TAB09560C,FLS,195.909,,,,
85,tab095,TAB09585A,FLS,71.874,,,,
85,tab095,TAB09585B,FLS,83.649,,,,
85,tab095,TAB09585C,FLS,105.629,,,,
95,tab095,TAB09595A,FLS,101.159,,,,
95,tab095,TAB09595B,FLS,84.747,,,,
95,tab095,TAB09595C,FLS,120.651,,,,
60,tab095,TAB09560A,F3pH,62.711,,,,
60,tab095,TAB09560B,F3pH,121.968,,,,
60,tab095,TAB09560C,F3pH,144.849,,,,
85,tab095,TAB09585A,F3pH,85.586,,,,
85,tab095,TAB09585B,F3pH,117.889,,,,
85,tab095,TAB09585C,F3pH,123.731,,,,
95,tab095,TAB09595A,F3pH,73.613,,,,
95,tab095,TAB09595B,F3pH,89.862,,,,
95,tab095,TAB09595C,F3pH,78.191,,,,
