Dev,Species,Abbrev,Gene,TMMsum,Dev,Species,Gene,TMMsum
60,tabChu,TABC60A,DFR,4.123,60,tabChu,DFR,4.123
60,tabChu,TABC60B,DFR,8.261,85,tabChu,DFR,137.145
60,tabChu,TABC60C,DFR,1.239,95,tabChu,DFR,50.469
85,tabChu,TABC85A,DFR,205.91,60,tabChu,FLS,620.783
85,tabChu,TABC85B,DFR,102.141,85,tabChu,FLS,317.248
85,tabChu,TABC85C,DFR,137.145,95,tabChu,FLS,274.425
95,tabChu,TABC95A,DFR,26.828,60,tabChu,F3pH,107.775
95,tabChu,TABC95B,DFR,50.469,85,tabChu,F3pH,97.642
95,tabChu,TABC95C,DFR,85.728,95,tabChu,F3pH,75.698
60,tabChu,TABC60A,FLS,522.371,,,,
60,tabChu,TABC60B,FLS,620.783,,,,
60,tabChu,TABC60C,FLS,731.194,,,,
85,tabChu,TABC85A,FLS,463.656,,,,
85,tabChu,TABC85B,FLS,317.248,,,,
85,tabChu,TABC85C,FLS,276.854,,,,
95,tabChu,TABC95A,FLS,274.425,,,,
95,tabChu,TABC95B,FLS,189.443,,,,
95,tabChu,TABC95C,FLS,286.901,,,,
60,tabChu,TABC60A,F3pH,107.775,,,,
60,tabChu,TABC60B,F3pH,79.12,,,,
60,tabChu,TABC60C,F3pH,170.187,,,,
85,tabChu,TABC85A,F3pH,123.83,,,,
85,tabChu,TABC85B,F3pH,97.642,,,,
85,tabChu,TABC85C,F3pH,84.79,,,,
95,tabChu,TABC95A,F3pH,75.698,,,,
95,tabChu,TABC95B,F3pH,72.979,,,,
95,tabChu,TABC95C,F3pH,146.117,,,,
