Dev,Species,Abbrev,Gene,TMMsum,Dev,Species,Gene,TMMsum
60,tomf,Tom60A,DFR,35.292,60,tomf,DFR,35.292
60,tomf,Tom60B,DFR,46.174,85,tomf,DFR,110.296
60,tomf,Tom60C,DFR,32.94,95,tomf,DFR,68.231
85,tomf,Tom85B,DFR,108.392,60,tomf,FLS,426.949
85,tomf,Tom85C,DFR,112.2,85,tomf,FLS,302.106
95,tomf,Tom95A,DFR,94.536,95,tomf,FLS,186.124
95,tomf,Tom95B,DFR,34.736,60,tomf,F3pH,105.77
95,tomf,Tom95C,DFR,68.231,85,tomf,F3pH,71.6455
60,tomf,Tom60A,FLS,368.547,95,tomf,F3pH,73.374
60,tomf,Tom60B,FLS,433.726,,,,
60,tomf,Tom60C,FLS,426.949,,,,
85,tomf,Tom85B,FLS,210.74,,,,
85,tomf,Tom85C,FLS,393.472,,,,
95,tomf,Tom95A,FLS,216.928,,,,
95,tomf,Tom95B,FLS,106.839,,,,
95,tomf,Tom95C,FLS,186.124,,,,
60,tomf,Tom60A,F3pH,136.254,,,,
60,tomf,Tom60B,F3pH,97.654,,,,
60,tomf,Tom60C,F3pH,105.77,,,,
85,tomf,Tom85B,F3pH,72.039,,,,
85,tomf,Tom85C,F3pH,71.252,,,,
95,tomf,Tom95A,F3pH,80.173,,,,
95,tomf,Tom95B,F3pH,35.269,,,,
95,tomf,Tom95C,F3pH,73.374,,,,
