Dev,Species,Abbrev,percsylv,Dev,Species,percsylv
60,sylv,Sylv60A,0.94144,60,prog ratio,0.070406954
60,sylv,Sylv60B,1,60,sylv,0.999999963
60,sylv,Sylv60C,1,60,QM24,0.520578679
60,QM24,QM2460A,0.529460982,60,QM25,0.34733725
60,QM24,QM2460C,0.511696376,60,tab095,0.173680067
60,QM25,QM2560A,0.34733725,60,tabChu,0.163527742
60,QM25,QM2560B,0.373194427,60,tomf,0
60,QM25,QM2560C,0.330134106,85,prog ratio,0.063144483
60,tab095,TAB09560A,0.159771054,85,sylv,0.9793176
60,tab095,TAB09560B,0.173680067,85,QM24,0.467128468
60,tab095,TAB09560C,0.217339667,85,QM25,0.496105101
60,tabChu,TABC60A,0.25348542,85,tab095,0.149430849
60,tabChu,TABC60B,0.163527742,85,tabChu,0.195786579
60,tabChu,TABC60C,0,85,tomf,0
60,tomf,Tom60A,0,95,prog ratio,0.090665028
60,tomf,Tom60B,0,95,sylv,0.991527885
60,tomf,Tom60C,0,95,QM24,0.577103094
85,sylv,Sylv85A,0.9793176,95,QM25,0.602965621
85,sylv,Sylv85B,0.983527263,95,tab095,0.155289962
85,sylv,Sylv85C,0.964979184,95,tabChu,0.220796665
85,QM24,QM2485A,0.505309848,95,tomf,0
85,QM24,QM2485B,0.440456473,,,
85,QM24,QM2485C,0.467128468,,,
85,QM25,QM2585A,0.496105101,,,
85,QM25,QM2585B,0.469859383,,,
85,QM25,QM2585C,0.527536635,,,
85,tab095,TAB09585A,0.126538914,,,
85,tab095,TAB09585B,0.209019789,,,
85,tab095,TAB09585C,0.149430849,,,
85,tabChu,TABC85A,0.195786579,,,
85,tabChu,TABC85B,0.221557479,,,
85,tabChu,TABC85C,0.123735712,,,
85,tomf,Tom85B,0,,,
85,tomf,Tom85C,0,,,
95,sylv,Sylv95A,0.949618651,,,
95,sylv,Sylv95B,0.991527885,,,
95,sylv,Sylv95C,0.999999991,,,
95,QM24,QM2495A,0.618615804,,,
95,QM24,QM2495B,0.535590383,,,
95,QM25,QM2595A,0.570947811,,,
95,QM25,QM2595B,0.613834404,,,
95,QM25,QM2595C,0.602965621,,,
95,tab095,TAB09595A,0.168305722,,,
95,tab095,TAB09595B,0.153107603,,,
95,tab095,TAB09595C,0.155289962,,,
95,tabChu,TABC95A,0.292902137,,,
95,tabChu,TABC95B,0.220796665,,,
95,tabChu,TABC95C,0.146543485,,,
95,tomf,Tom95A,0,,,
95,tomf,Tom95B,0,,,
95,tomf,Tom95C,0.002198414,,,
95,prog ratio,,,,,
