Dev,Species,Abbrev,TMMsum,Dev,Species,TMMsum
60,sylv,Sylv60A,153.751,60,sylv,286.853
60,sylv,Sylv60B,286.853,60,QM24,795.5065
60,sylv,Sylv60C,346.862,60,QM25,699.579
60,QM24,QM2460A,775.616,60,tab095,483.76
60,QM24,QM2460C,815.397,60,tabChu,888.347
60,QM25,QM2560A,699.579,60,tomf,541.925
60,QM25,QM2560B,452.557,85,sylv,364.219
60,QM25,QM2560C,801.511,85,QM24,914.833
60,tab095,TAB09560A,345.827,85,QM25,813.939
60,tab095,TAB09560B,550.049,85,tab095,523.298
60,tab095,TAB09560C,483.76,85,tabChu,1153.794
60,tabChu,TABC60A,738.256,85,tomf,771.177
60,tabChu,TABC60B,924.394,95,sylv,357.162
60,tabChu,TABC60C,888.347,95,QM24,724.4995
60,tomf,Tom60A,585.789,95,QM25,523.859
60,tomf,Tom60B,541.925,95,tab095,636.187
60,tomf,Tom60C,481.549,95,tabChu,782.576
85,sylv,Sylv85A,213.621,95,tomf,504.182
85,sylv,Sylv85B,364.219,,,
85,sylv,Sylv85C,398.229,,,
85,QM24,QM2485A,914.833,,,
85,QM24,QM2485B,891.956,,,
85,QM24,QM2485C,1107.614,,,
85,QM25,QM2585A,813.939,,,
85,QM25,QM2585B,528.122,,,
85,QM25,QM2585C,1165.716,,,
85,tab095,TAB09585A,452.234,,,
85,tab095,TAB09585B,523.298,,,
85,tab095,TAB09585C,768.19,,,
85,tabChu,TABC85A,1900.953,,,
85,tabChu,TABC85B,1100.545,,,
85,tabChu,TABC85C,1153.794,,,
85,tomf,Tom85B,617.988,,,
85,tomf,Tom85C,924.366,,,
95,sylv,Sylv95A,234.683,,,
95,sylv,Sylv95B,357.162,,,
95,sylv,Sylv95C,540.854,,,
95,QM24,QM2495A,671.185,,,
95,QM24,QM2495B,777.814,,,
95,QM25,QM2595A,837.908,,,
95,QM25,QM2595B,523.859,,,
95,QM25,QM2595C,366.361,,,
95,tab095,TAB09595A,557.024,,,
95,tab095,TAB09595B,636.187,,,
95,tab095,TAB09595C,945.54,,,
95,tabChu,TABC95A,782.576,,,
95,tabChu,TABC95B,409.485,,,
95,tabChu,TABC95C,824.422,,,
95,tomf,Tom95A,518.365,,,
95,tomf,Tom95B,435.923,,,
95,tomf,Tom95C,504.182,,,
