Dev,Species,Abbrev,percsylv,Dev,Species,percsylv
60,sylv,Sylv60A,0.99968,60,prog ratio,0.351808881
60,sylv,Sylv60B,1,60,sylv,0.999681302
60,sylv,Sylv60C,0.99729,60,QM24,0.31781593
60,QM24,QM2460A,0.317848007,60,QM25,0.261666486
60,QM24,QM2460C,0.317783852,60,tab095,0.357249462
60,QM25,QM2560A,0.321646304,60,tabChu,0.287190351
60,QM25,QM2560B,0.261666486,60,tomf,0.023821044
60,QM25,QM2560C,0.25750364,85,prog ratio,0.325330556
60,tab095,TAB09560A,0.328077333,85,sylv,0.996882329
60,tab095,TAB09560B,0.367250918,85,QM24,0.31772247
60,tab095,TAB09560C,0.357249462,85,QM25,0.287268456
60,tabChu,TABC60A,0.287190351,85,tab095,0.335490034
60,tabChu,TABC60B,0.272828469,85,tabChu,0.261908106
60,tabChu,TABC60C,0.353632083,85,tomf,0.020902897
60,tomf,Tom60A,0.021688697,95,prog ratio,0.42102744
60,tomf,Tom60B,0.024748812,95,sylv,0.999710247
60,tomf,Tom60C,0.023821044,95,QM24,0.270210487
85,sylv,Sylv85A,0.996882329,95,QM25,0.239856526
85,sylv,Sylv85B,0.999305363,95,tab095,0.291743264
85,sylv,Sylv85C,0.993277737,95,tabChu,0.321665361
85,QM24,QM2485A,0.31772247,95,tomf,0.024517473
85,QM24,QM2485B,0.320627923,,,
85,QM24,QM2485C,0.238788964,,,
85,QM25,QM2585A,0.287268456,,,
85,QM25,QM2585B,0.300371884,,,
85,QM25,QM2585C,0.218977006,,,
85,tab095,TAB09585A,0.335490034,,,
85,tab095,TAB09585B,0.355508716,,,
85,tab095,TAB09585C,0.265551491,,,
85,tabChu,TABC85A,0.261908106,,,
85,tabChu,TABC85B,0.338666751,,,
85,tabChu,TABC85C,0.256580464,,,
85,tomf,Tom85B,0.019168657,,,
85,tomf,Tom85C,0.022637137,,,
95,sylv,Sylv95A,0.999710247,,,
95,sylv,Sylv95B,0.999899205,,,
95,sylv,Sylv95C,0.999005277,,,
95,QM24,QM2495A,0.238865588,,,
95,QM24,QM2495B,0.301555385,,,
95,QM25,QM2595A,0.187914425,,,
95,QM25,QM2595B,0.239856526,,,
95,QM25,QM2595C,0.286979236,,,
95,tab095,TAB09595A,0.291743264,,,
95,tab095,TAB09595B,0.3076171,,,
95,tab095,TAB09595C,0.242824206,,,
95,tabChu,TABC95A,0.32000598,,,
95,tabChu,TABC95B,0.331687363,,,
95,tabChu,TABC95C,0.321665361,,,
95,tomf,Tom95A,0.024517473,,,
95,tomf,Tom95B,0.019888834,,,
95,tomf,Tom95C,0.025948963,,,
95,prog ratio,,,,,
