Dev,Species,Abbrev,TMMsum,Dev,Species,TMMsum
60,sylv,Sylv60A,0.056,60,sylv,0.227
60,sylv,Sylv60B,0.227,60,QM24,0.276
60,sylv,Sylv60C,0.251,60,QM25,0.738
60,QM24,QM2460A,0.171,60,tab095,0.164
60,QM24,QM2460C,0.381,60,tabChu,0
60,QM25,QM2560A,0.589,60,tomf,0.38
60,QM25,QM2560B,0.994,85,sylv,0
60,QM25,QM2560C,0.738,85,QM24,0.914
60,tab095,TAB09560A,0.164,85,QM25,3.013
60,tab095,TAB09560B,0.105,85,tab095,0.144
60,tab095,TAB09560C,0.347,85,tabChu,0.445
60,tabChu,TABC60A,0,85,tomf,0.2225
60,tabChu,TABC60B,0.293,95,sylv,0
60,tabChu,TABC60C,0,95,QM24,3.606
60,tomf,Tom60A,0.38,95,QM25,5.335
60,tomf,Tom60B,0.341,95,tab095,0.071
60,tomf,Tom60C,0.527,95,tabChu,1.116
85,sylv,Sylv85A,0,95,tomf,0.6
85,sylv,Sylv85B,0.065,,,
85,sylv,Sylv85C,0,,,
85,QM24,QM2485A,0.914,,,
85,QM24,QM2485B,0.471,,,
85,QM24,QM2485C,1.453,,,
85,QM25,QM2585A,3.013,,,
85,QM25,QM2585B,2.2,,,
85,QM25,QM2585C,5.512,,,
85,tab095,TAB09585A,0.119,,,
85,tab095,TAB09585B,0.144,,,
85,tab095,TAB09585C,0.655,,,
85,tabChu,TABC85A,0.483,,,
85,tabChu,TABC85B,0.188,,,
85,tabChu,TABC85C,0.445,,,
85,tomf,Tom85B,0.243,,,
85,tomf,Tom85C,0.202,,,
95,sylv,Sylv95A,0,,,
95,sylv,Sylv95B,0,,,
95,sylv,Sylv95C,0,,,
95,QM24,QM2495A,4.73,,,
95,QM24,QM2495B,2.482,,,
95,QM25,QM2595A,5.499,,,
95,QM25,QM2595B,5.335,,,
95,QM25,QM2595C,4.334,,,
95,tab095,TAB09595A,0.07,,,
95,tab095,TAB09595B,0.071,,,
95,tab095,TAB09595C,0.146,,,
95,tabChu,TABC95A,0.076,,,
95,tabChu,TABC95B,1.356,,,
95,tabChu,TABC95C,1.116,,,
95,tomf,Tom95A,0.46,,,
95,tomf,Tom95B,0.958,,,
95,tomf,Tom95C,0.6,,,
