Dev,Species,Abbrev,percsylv,Dev,Species,percsylv
60,sylv,Sylv60A,1,60,prog ratio,0.128440367
60,sylv,Sylv60B,0,60,sylv,0.999998214
60,sylv,Sylv60C,1,60,QM24,0
60,QM24,QM2460A,0,60,QM25,0
60,QM24,QM2460C,0,60,tab095,0
60,QM25,QM2560A,0.543293626,60,tabChu,0
60,QM25,QM2560B,0,60,tomf,0
60,QM25,QM2560C,0,85,prog ratio,0
60,tab095,TAB09560A,0,85,sylv,0
60,tab095,TAB09560B,0,85,QM24,0.5801789
60,tab095,TAB09560C,0,85,QM25,0.806966604
60,tabChu,TABC60A,0,85,tab095,0
60,tabChu,TABC60B,0,85,tabChu,0
60,tabChu,TABC60C,0,85,tomf,0
60,tomf,Tom60A,0,95,prog ratio,0
60,tomf,Tom60B,0,95,sylv,0
60,tomf,Tom60C,0,95,QM24,0.932849682
85,sylv,Sylv85A,0,95,QM25,0.809183184
85,sylv,Sylv85B,0,95,tab095,0
85,sylv,Sylv85C,0,95,tabChu,0
85,QM24,QM2485A,0.387308492,95,tomf,0
85,QM24,QM2485B,0.707006219,,,
85,QM24,QM2485C,0.5801789,,,
85,QM25,QM2585A,0.909724497,,,
85,QM25,QM2585B,0.458636343,,,
85,QM25,QM2585C,0.806966604,,,
85,tab095,TAB09585A,0,,,
85,tab095,TAB09585B,0,,,
85,tab095,TAB09585C,0,,,
85,tabChu,TABC85A,0,,,
85,tabChu,TABC85B,0,,,
85,tabChu,TABC85C,0,,,
85,tomf,Tom85B,0,,,
85,tomf,Tom85C,0,,,
95,sylv,Sylv95A,0,,,
95,sylv,Sylv95B,0,,,
95,sylv,Sylv95C,0,,,
95,QM24,QM2495A,0.967230424,,,
95,QM24,QM2495B,0.89846894,,,
95,QM25,QM2595A,0.88707036,,,
95,QM25,QM2595B,0.753327071,,,
95,QM25,QM2595C,0.809183184,,,
95,tab095,TAB09595A,0,,,
95,tab095,TAB09595B,0,,,
95,tab095,TAB09595C,0,,,
95,tabChu,TABC95A,0,,,
95,tabChu,TABC95B,0,,,
95,tabChu,TABC95C,0.094086013,,,
95,tomf,Tom95A,0,,,
95,tomf,Tom95B,0,,,
95,tomf,Tom95C,0,,,
95,prog ratio,,,,,
