Dev,Species,Abbrev,TMMsum,Dev,Species,TMMsum
60,sylv,Sylv60A,35.996,60,sylv,78.274
60,sylv,Sylv60B,78.274,60,QM24,100.7265
60,sylv,Sylv60C,92.246,60,QM25,152.195
60,QM24,QM2460A,96.228,60,tab095,121.968
60,QM24,QM2460C,105.225,60,tabChu,107.775
60,QM25,QM2560A,223.456,60,tomf,105.77
60,QM25,QM2560B,114.571,85,sylv,93.423
60,QM25,QM2560C,152.195,85,QM24,119.423
60,tab095,TAB09560A,62.711,85,QM25,112.391
60,tab095,TAB09560B,121.968,85,tab095,117.889
60,tab095,TAB09560C,144.849,85,tabChu,97.642
60,tabChu,TABC60A,107.775,85,tomf,71.6455
60,tabChu,TABC60B,79.12,95,sylv,112.493
60,tabChu,TABC60C,170.187,95,QM24,71.094
60,tomf,Tom60A,136.254,95,QM25,128.994
60,tomf,Tom60B,97.654,95,tab095,78.191
60,tomf,Tom60C,105.77,95,tabChu,75.698
85,sylv,Sylv85A,64.893,95,tomf,73.374
85,sylv,Sylv85B,114.715,,,
85,sylv,Sylv85C,93.423,,,
85,QM24,QM2485A,129.056,,,
85,QM24,QM2485B,119.423,,,
85,QM24,QM2485C,75.323,,,
85,QM25,QM2585A,177.133,,,
85,QM25,QM2585B,110.738,,,
85,QM25,QM2585C,112.391,,,
85,tab095,TAB09585A,85.586,,,
85,tab095,TAB09585B,117.889,,,
85,tab095,TAB09585C,123.731,,,
85,tabChu,TABC85A,123.83,,,
85,tabChu,TABC85B,97.642,,,
85,tabChu,TABC85C,84.79,,,
85,tomf,Tom85B,72.039,,,
85,tomf,Tom85C,71.252,,,
95,sylv,Sylv95A,63.08,,,
95,sylv,Sylv95B,125,,,
95,sylv,Sylv95C,112.493,,,
95,QM24,QM2495A,51.944,,,
95,QM24,QM2495B,90.244,,,
95,QM25,QM2595A,96.869,,,
95,QM25,QM2595B,128.994,,,
95,QM25,QM2595C,167.919,,,
95,tab095,TAB09595A,73.613,,,
95,tab095,TAB09595B,89.862,,,
95,tab095,TAB09595C,78.191,,,
95,tabChu,TABC95A,75.698,,,
95,tabChu,TABC95B,72.979,,,
95,tabChu,TABC95C,146.117,,,
95,tomf,Tom95A,80.173,,,
95,tomf,Tom95B,35.269,,,
95,tomf,Tom95C,73.374,,,
