Dev,Species,Abbrev,percsylv,Dev,Species,percsylv
60,sylv,Sylv60A,0.97519,60,prog ratio,0.419142965
60,sylv,Sylv60B,0.97507,60,sylv,0.975074736
60,sylv,Sylv60C,0.97308,60,QM24,0.320274759
60,QM24,QM2460A,0.305971235,60,QM25,0.364103
60,QM24,QM2460C,0.334578284,60,tab095,0.101050852
60,QM25,QM2560A,0.364103,60,tabChu,0.197585945
60,QM25,QM2560B,0.280969879,60,tomf,0
60,QM25,QM2560C,0.395584612,85,prog ratio,0.5615955
60,tab095,TAB09560A,0.101050852,85,sylv,0.982156427
60,tab095,TAB09560B,0.085276466,85,QM24,0.405089472
60,tab095,TAB09560C,0.142859115,85,QM25,0.417398226
60,tabChu,TABC60A,0.22131292,85,tab095,0.131721234
60,tabChu,TABC60B,0.197585945,85,tabChu,0.249785997
60,tabChu,TABC60C,0.17958481,85,tomf,0.00023859
60,tomf,Tom60A,0,95,prog ratio,0.602004784
60,tomf,Tom60B,0,95,sylv,0.981607999
60,tomf,Tom60C,0,95,QM24,0.434003295
85,sylv,Sylv85A,0.982370978,95,QM25,0.61916609
85,sylv,Sylv85B,0.976271629,95,tab095,0.279814706
85,sylv,Sylv85C,0.982156427,95,tabChu,0.2503747
85,QM24,QM2485A,0.424552132,95,tomf,0
85,QM24,QM2485B,0.405089472,,,
85,QM24,QM2485C,0.370869455,,,
85,QM25,QM2585A,0.417398226,,,
85,QM25,QM2585B,0.376537412,,,
85,QM25,QM2585C,0.437508341,,,
85,tab095,TAB09585A,0.092258079,,,
85,tab095,TAB09585B,0.177226035,,,
85,tab095,TAB09585C,0.131721234,,,
85,tabChu,TABC85A,0.249785997,,,
85,tabChu,TABC85B,0.195960754,,,
85,tabChu,TABC85C,0.319164995,,,
85,tomf,Tom85B,0,,,
85,tomf,Tom85C,0.00047718,,,
95,sylv,Sylv95A,0.981309447,,,
95,sylv,Sylv95B,0.981607999,,,
95,sylv,Sylv95C,0.986594721,,,
95,QM24,QM2495A,0.465597566,,,
95,QM24,QM2495B,0.402409024,,,
95,QM25,QM2595A,0.61916609,,,
95,QM25,QM2595B,0.555855311,,,
95,QM25,QM2595C,0.642708687,,,
95,tab095,TAB09595A,0.279814706,,,
95,tab095,TAB09595B,0.173744185,,,
95,tab095,TAB09595C,0.327262728,,,
95,tabChu,TABC95A,0.192686729,,,
95,tabChu,TABC95B,0.373984296,,,
95,tabChu,TABC95C,0.2503747,,,
95,tomf,Tom95A,0.001172465,,,
95,tomf,Tom95B,0,,,
95,tomf,Tom95C,0,,,
95,prog ratio,,,,,
