Dev,Species,Abbrev,TMMsum,Dev,Species,TMMsum
60,sylv,Sylv60A,70.4973384,60,sylv,47.77722772
60,sylv,Sylv60B,47.77722772,60,QM24,77.76600691
60,sylv,Sylv60C,45.05798728,60,QM25,9.015170315
60,QM24,QM2460A,43.86033052,60,tab095,2.595673692
60,QM24,QM2460C,111.6716833,60,tabChu,126.6968227
60,QM25,QM2560A,8.876278166,60,tomf,10.44279157
60,QM25,QM2560B,9.015170315,85,sylv,13.85483125
60,QM25,QM2560C,9.937151142,85,QM24,2.018711737
60,tab095,TAB09560A,2.595673692,85,QM25,1.142579499
60,tab095,TAB09560B,1.400176945,85,tab095,0.632490045
60,tab095,TAB09560C,8.257840162,85,tabChu,2.251741052
60,tabChu,TABC60A,126.6968227,85,tomf,2.725559999
60,tabChu,TABC60B,75.14622927,95,sylv,18.03286591
60,tabChu,TABC60C,590.1485069,95,QM24,0.829112372
60,tomf,Tom60A,10.44279157,95,QM25,0.45008135
60,tomf,Tom60B,9.393294928,95,tab095,1.46656051
60,tomf,Tom60C,12.96141469,95,tabChu,3.753650756
85,sylv,Sylv85A,9.995389277,95,tomf,2.727850977
85,sylv,Sylv85B,17.79703793,,,
85,sylv,Sylv85C,13.85483125,,,
85,QM24,QM2485A,2.018711737,,,
85,QM24,QM2485B,1.812914563,,,
85,QM24,QM2485C,2.25010561,,,
85,QM25,QM2585A,1.142579499,,,
85,QM25,QM2585B,1.411701777,,,
85,QM25,QM2585C,1.103126338,,,
85,tab095,TAB09585A,0.556011975,,,
85,tab095,TAB09585B,0.644336091,,,
85,tab095,TAB09585C,0.632490045,,,
85,tabChu,TABC85A,2.251741052,,,
85,tabChu,TABC85B,3.105980948,,,
85,tabChu,TABC85C,2.018695541,,,
85,tomf,Tom85B,1.944239427,,,
85,tomf,Tom85C,3.50688057,,,
95,sylv,Sylv95A,15.57822972,,,
95,sylv,Sylv95B,18.03286591,,,
95,sylv,Sylv95C,19.17676632,,,
95,QM24,QM2495A,0.820756092,,,
95,QM24,QM2495B,0.837468652,,,
95,QM25,QM2595A,0.582665966,,,
95,QM25,QM2595B,0.435273994,,,
95,QM25,QM2595C,0.45008135,,,
95,tab095,TAB09595A,2.006963733,,,
95,tab095,TAB09595B,1.065155914,,,
95,tab095,TAB09595C,1.46656051,,,
95,tabChu,TABC95A,10.22905174,,,
95,tabChu,TABC95B,3.753650756,,,
95,tabChu,TABC95C,3.34664287,,,
95,tomf,Tom95A,2.294660235,,,
95,tomf,Tom95B,3.075742745,,,
95,tomf,Tom95C,2.727850977,,,
