Dev,Species,Abbrev,TMMsum,Dev,Species,TMMsum
60,sylv,Sylv60A,2.575397266,60,sylv,1.726167054
60,sylv,Sylv60B,1.726167054,60,QM24,6.512043311
60,sylv,Sylv60C,1.305639269,60,QM25,3.361086139
60,QM24,QM2460A,6.536569398,60,tab095,1.352505022
60,QM24,QM2460C,6.487517225,60,tabChu,4.846866156
60,QM25,QM2560A,2.575580875,60,tomf,4.03657937
60,QM25,QM2560B,3.361086139,85,sylv,1.169232429
60,QM25,QM2560C,4.503531653,85,QM24,3.757961197
60,tab095,TAB09560A,1.488670249,85,QM25,2.395194062
60,tab095,TAB09560B,1.180785124,85,tab095,0.839786881
60,tab095,TAB09560C,1.352505022,85,tabChu,3.26517278
60,tabChu,TABC60A,4.846866156,85,tomf,4.223809449
60,tabChu,TABC60B,7.84609454,95,sylv,1.068595434
60,tabChu,TABC60C,4.29641512,95,QM24,4.257787813
60,tomf,Tom60A,2.704852702,95,QM25,0.984379118
60,tomf,Tom60B,4.441456571,95,tab095,1.374200209
60,tomf,Tom60C,4.03657937,95,tabChu,2.595856342
85,sylv,Sylv85A,1.169232429,95,tomf,2.705748818
85,sylv,Sylv85B,1.026570196,,,
85,sylv,Sylv85C,1.283110155,,,
85,QM24,QM2485A,3.533574572,,,
85,QM24,QM2485B,3.757961197,,,
85,QM24,QM2485C,5.869309507,,,
85,QM25,QM2585A,2.044475055,,,
85,QM25,QM2585B,2.395194062,,,
85,QM25,QM2585C,3.805678391,,,
85,tab095,TAB09585A,0.839786881,,,
85,tab095,TAB09585B,0.709557295,,,
85,tab095,TAB09585C,0.85369875,,,
85,tabChu,TABC85A,3.744294597,,,
85,tabChu,TABC85B,3.249093628,,,
85,tabChu,TABC85C,3.26517278,,,
85,tomf,Tom85B,2.925359875,,,
85,tomf,Tom85C,5.522259024,,,
95,sylv,Sylv95A,1.068595434,,,
95,sylv,Sylv95B,0.987624,,,
95,sylv,Sylv95C,1.898873708,,,
95,QM24,QM2495A,5.311008009,,,
95,QM24,QM2495B,3.204567617,,,
95,QM25,QM2595A,2.287801051,,,
95,QM25,QM2595B,0.984379118,,,
95,QM25,QM2595C,0.607900238,,,
95,tab095,TAB09595A,1.374200209,,,
95,tab095,TAB09595B,0.943079388,,,
95,tab095,TAB09595C,1.543029249,,,
95,tabChu,TABC95A,3.625260905,,,
95,tabChu,TABC95B,2.595856342,,,
95,tabChu,TABC95C,1.963501851,,,
95,tomf,Tom95A,2.705748818,,,
95,tomf,Tom95B,3.029260824,,,
95,tomf,Tom95C,2.536647859,,,
