Dev,Species,Abbrev,TMMsum,Dev,Species,TMMsum
60,sylv,Sylv60A,92.704,60,sylv,120.44
60,sylv,Sylv60B,135.114,60,QM24,655.825
60,sylv,Sylv60C,120.44,60,QM25,575.529
60,QM24,QM2460A,629.001,60,tab095,144.018
60,QM24,QM2460C,682.649,60,tabChu,620.783
60,QM25,QM2560A,575.529,60,tomf,426.949
60,QM25,QM2560B,385.083,85,sylv,117.763
60,QM25,QM2560C,685.415,85,QM24,448.787
60,tab095,TAB09560A,93.356,85,QM25,362.144
60,tab095,TAB09560B,144.018,85,tab095,83.649
60,tab095,TAB09560C,195.909,85,tabChu,317.248
60,tabChu,TABC60A,522.371,85,tomf,302.106
60,tabChu,TABC60B,620.783,95,sylv,123.453
60,tabChu,TABC60C,731.194,95,QM24,282.534
60,tomf,Tom60A,368.547,95,QM25,126.979
60,tomf,Tom60B,433.726,95,tab095,101.159
60,tomf,Tom60C,426.949,95,tabChu,274.425
85,sylv,Sylv85A,75.875,95,tomf,186.124
85,sylv,Sylv85B,117.763,,,
85,sylv,Sylv85C,119.872,,,
85,QM24,QM2485A,456.029,,,
85,QM24,QM2485B,448.787,,,
85,QM24,QM2485C,442.094,,,
85,QM25,QM2585A,362.144,,,
85,QM25,QM2585B,265.239,,,
85,QM25,QM2585C,427.724,,,
85,tab095,TAB09585A,71.874,,,
85,tab095,TAB09585B,83.649,,,
85,tab095,TAB09585C,105.629,,,
85,tabChu,TABC85A,463.656,,,
85,tabChu,TABC85B,317.248,,,
85,tabChu,TABC85C,276.854,,,
85,tomf,Tom85B,210.74,,,
85,tomf,Tom85C,393.472,,,
95,sylv,Sylv95A,67.407,,,
95,sylv,Sylv95B,123.453,,,
95,sylv,Sylv95C,213.61,,,
95,QM24,QM2495A,275.875,,,
95,QM24,QM2495B,289.193,,,
95,QM25,QM2595A,221.617,,,
95,QM25,QM2595B,126.979,,,
95,QM25,QM2595C,102.078,,,
95,tab095,TAB09595A,101.159,,,
95,tab095,TAB09595B,84.747,,,
95,tab095,TAB09595C,120.651,,,
95,tabChu,TABC95A,274.425,,,
95,tabChu,TABC95B,189.443,,,
95,tabChu,TABC95C,286.901,,,
95,tomf,Tom95A,216.928,,,
95,tomf,Tom95B,106.839,,,
95,tomf,Tom95C,186.124,,,
