Dev,Species,Abbrev,percsylv,Dev,Species,percsylv
60,sylv,Sylv60A,0.99005,60,prog ratio,0.227351179
60,sylv,Sylv60B,0.99199,60,sylv,0.991991947
60,sylv,Sylv60C,0.992,60,QM24,0.435854408
60,QM24,QM2460A,0.443709946,60,QM25,0.446646567
60,QM24,QM2460C,0.427998869,60,tab095,0.485667766
60,QM25,QM2560A,0.421349749,60,tabChu,0.431741849
60,QM25,QM2560B,0.446646567,60,tomf,0.048980089
60,QM25,QM2560C,0.449515987,85,prog ratio,0.287711224
60,tab095,TAB09560A,0.485667766,85,sylv,0.993784125
60,tab095,TAB09560B,0.600598536,85,QM24,0.473057375
60,tab095,TAB09560C,0.465716225,85,QM25,0.467721564
60,tabChu,TABC60A,0.457954213,85,tab095,0.517781116
60,tabChu,TABC60B,0.431741849,85,tabChu,0.468614662
60,tabChu,TABC60C,0.422210795,85,tomf,0.043163398
60,tomf,Tom60A,0.054153202,95,prog ratio,0.411223703
60,tomf,Tom60B,0.041565412,95,sylv,0.989526309
60,tomf,Tom60C,0.048980089,95,QM24,0.545955475
85,sylv,Sylv85A,0.994016473,95,QM25,0.552626422
85,sylv,Sylv85B,0.993784125,95,tab095,0.436158838
85,sylv,Sylv85C,0.990364722,95,tabChu,0.514152965
85,QM24,QM2485A,0.455567519,95,tomf,0.059697301
85,QM24,QM2485B,0.473057375,,,
85,QM24,QM2485C,0.493707221,,,
85,QM25,QM2585A,0.501568437,,,
85,QM25,QM2585B,0.467721564,,,
85,QM25,QM2585C,0.46181416,,,
85,tab095,TAB09585A,0.517781116,,,
85,tab095,TAB09585B,0.581429544,,,
85,tab095,TAB09585C,0.4677598,,,
85,tabChu,TABC85A,0.468614662,,,
85,tabChu,TABC85B,0.484961292,,,
85,tabChu,TABC85C,0.451949403,,,
85,tomf,Tom85B,0.050479264,,,
85,tomf,Tom85C,0.035847532,,,
95,sylv,Sylv95A,0.989526309,,,
95,sylv,Sylv95B,0.989121365,,,
95,sylv,Sylv95C,0.989930246,,,
95,QM24,QM2495A,0.566676937,,,
95,QM24,QM2495B,0.525234013,,,
95,QM25,QM2595A,0.56306601,,,
95,QM25,QM2595B,0.513447105,,,
95,QM25,QM2595C,0.552626422,,,
95,tab095,TAB09595A,0.433851659,,,
95,tab095,TAB09595B,0.486483297,,,
95,tab095,TAB09595C,0.436158838,,,
95,tabChu,TABC95A,0.488333789,,,
95,tabChu,TABC95B,0.531996431,,,
95,tabChu,TABC95C,0.514152965,,,
95,tomf,Tom95A,0.045789386,,,
95,tomf,Tom95B,0.059697301,,,
95,tomf,Tom95C,0.060663858,,,
95,prog ratio,,,,,
