Ploidy,Species,Dev,Dev50,Devprog
01synth,QM24a,60,0.18892843,0.178714975
01synth,QM24a,60,0.210771874,0.055265018
01synth,QM24a,60,0.149041203,0.253461097
01synth,QM24a,60,0.039341841,0.00917353
01synth,QM24a,60,0.181556573,0.106155601
01synth,QM24a,60,0.158713312,0.064621668
01synth,QM24a,60,0.114395216,0.079894632
01synth,QM24a,60,0.028145512,0.226186364
01synth,QM24a,60,0.127296138,0.265540236
01synth,QM24a,60,0.065282347,0.072551645
01synth,QM24a,60,0.095261662,0.289065992
01synth,QM24a,60,0.229332336,0.04186282
01synth,QM24a,60,0.009154434,0.009192114
01synth,QM24a,60,0.0758602,0.058594883
01synth,QM24a,60,0.018177106,0.028642844
01synth,QM24a,60,0.03402498,0.209512542
01synth,QM24a,60,0.092638302,0.197298075
01synth,QM24a,60,0.071011903,0.235415248
01synth,QM24a,60,0.178272438,0.078207738
01synth,QM24a,60,0.018296184,0.481703798
01synth,QM24a,60,0.230121129,0.143022386
01synth,QM24a,60,0.141311668,0.309174648
01synth,QM24a,60,0.330743182,0.148406826
01synth,QM24a,60,0.030991725,0.113158761
01synth,QM24a,60,0.069004252,0.128896759
01synth,QM24a,60,0.102712681,0.115227831
01synth,QM24a,60,0.45756676,0.028788326
01synth,QM24a,60,0.040269912,0.013535484
01synth,QM24a,60,0.078558424,0.069310751
01synth,QM24a,60,0.438517627,0.09974431
01synth,QM24a,60,0.229070474,0.033215779
01synth,QM24a,60,0.032963996,0.112483185
01synth,QM24a,60,0.027549639,0.043441424
01synth,QM24a,60,0.092342551,0.011871732
01synth,QM24a,60,0.07531733,0.019059196
01synth,QM24a,60,0.056618271,0.279634303
01synth,QM24a,60,0.19743245,0.020295426
01synth,QM24a,60,0.281498322,0.153205474
01synth,QM24a,60,0.087050935,0.022400291
01synth,QM24a,60,0.269936498,0.005632872
01synth,QM24a,60,0.140328647,0.112098849
01synth,QM24a,60,0.109818093,0.01117412
01synth,QM24a,60,0.175576653,0.15692884
01synth,QM24a,60,0.05791542,0.032371962
01synth,QM24a,60,0.0879224,0.196496094
01synth,QM24a,60,0.117792485,0.501440145
01synth,QM24a,60,0.026821215,0.010351873
01synth,QM24a,60,0.144210504,0.078459244
01synth,QM24a,60,0.201178062,0.145686907
01synth,QM24a,60,0.093764535,0.011972333
01synth,QM24a,60,0.252652242,0.135323075
01synth,QM24a,60,0.209584744,0.178712201
01synth,QM24a,60,0.047597914,0.154788389
01synth,QM24a,60,0.067614237,0.315250959
01synth,QM24a,60,0.123804192,0.060516644
01synth,QM24a,60,0.348647364,0.005325723
01synth,QM24a,60,0.162755788,0.253888794
01synth,QM24a,60,0.108700036,0.002888894
01synth,QM24a,60,0.085421141,0.047655038
01synth,QM24a,60,0.180907428,0.274191844
01synth,QM24a,60,0.032322224,0.076910859
01synth,QM24a,60,0.084200464,0.054356951
01synth,QM24a,60,0.132441476,0.207321756
01synth,QM24a,60,0.028062302,0.194876997
01synth,QM24a,60,0.155174654,0.001036662
01synth,QM24a,60,0.361015224,0.037722547
01synth,QM24a,60,0.026894486,0.095553034
01synth,QM24a,60,0.215411342,0.155922297
01synth,QM24a,60,0.220677753,0.132173972
01synth,QM24a,60,0.044932393,0.123772339
01synth,QM24a,60,0.232963899,0.205988469
01synth,QM24a,60,0.211399421,0.079570541
01synth,QM24a,60,0.329487853,0.074836442
01synth,QM24a,60,0.0367053,0.080785306
01synth,QM24a,60,0.222767185,0.008099464
01synth,QM24a,60,0.119141276,0.027110328
01synth,QM24a,60,0.292858628,0.08323189
01synth,QM24a,60,0.453238275,0.323236375
01synth,QM24a,60,0.075217279,0.09287653
01synth,QM24a,60,0.133553727,0.152264568
01synth,QM24a,60,0.044892791,0.012839133
01synth,QM24a,60,0.028160467,0.471839517
01synth,QM24a,60,0.047617331,0.000361803
01synth,QM24a,60,0.083198238,0.150693123
01synth,QM24a,60,0.047429748,0.036236292
01synth,QM24a,60,0.183971835,0.09088274
01synth,QM24a,60,0.273267872,0.269730402
01synth,QM24a,60,0.085296732,0.296235222
01synth,QM24a,60,0.021532483,0.023017653
01synth,QM24a,60,0.071825528,0.005255346
01synth,QM24a,60,0.077043264,0.096609506
01synth,QM24a,60,0.127235821,0.072159864
01synth,QM24a,60,0.266074076,0.014795535
01synth,QM24a,60,0.127530079,0.045521165
01synth,QM24a,60,0.109892542,0.106098181
01synth,QM24a,60,0.499999925,0.023654887
01synth,QM24a,60,0.405728518,0.0111241
01synth,QM24a,60,0.102619836,0.013720553
01synth,QM24a,60,0.302773429,0.123050511
01synth,QM24a,60,0.210348826,0.080483265
01synth,QM24a,60,0.165474721,0.005994609
01synth,QM24a,60,0.037858638,0.289562629
01synth,QM24a,60,0.070684086,0.00245163
01synth,QM24a,60,0.128437006,0.164130167
01synth,QM24a,60,0.060007417,0.072908024
01synth,QM24a,60,0.197668712,0.051072233
01synth,QM24a,60,0.243041453,0.119132179
01synth,QM24a,60,0.108022644,0.014862947
01synth,QM24a,60,0.09094866,0.130484323
01synth,QM24a,60,0.235205996,0.135774349
01synth,QM24a,60,0.145170229,0.019593896
01synth,QM24a,60,0.060090289,0.035707819
01synth,QM24a,60,0.287461251,0.061681919
01synth,QM24a,60,0.427545494,0.242535483
01synth,QM24a,60,0.176563814,0.067269115
01synth,QM24a,60,0.117896663,0.0862528
01synth,QM24a,60,0.439862105,0.031508102
01synth,QM24a,60,0.21018196,0.004732388
01synth,QM24a,60,0.030016361,0.119710442
01synth,QM24a,60,0.339663816,0.160336178
01synth,QM24a,60,0.029321312,0.001880806
01synth,QM24a,60,0.069650374,0.091601102
01synth,QM24a,60,0.221558038,0.034286409
