,Query.seq.ID,n
1,Nsylvestris_NODE_21429_length_997_cov_21,91
2,Nsylvestris_NODE_26065_length_716_cov_6,71
3,Nsylvestris_NODE_28994_length_584_cov_33,57
4,Nsylvestris_NODE_411_length_6233_cov_235,51
5,Nsylvestris_NODE_908_length_5077_cov_33,49
6,Nsylvestris_NODE_15490_length_1503_cov_28,43
7,Nsylvestris_NODE_24317_length_812_cov_4,41
8,Nsylvestris_NODE_1078_length_4841_cov_29,39
9,Nsylvestris_NODE_4_length_15019_cov_122,35
10,Nsylvestris_NODE_26816_length_682_cov_80,31
11,Nsylvestris_NODE_17476_length_1316_cov_70,30
12,Nsylvestris_NODE_16617_length_1390_cov_13,25
13,Nsylvestris_NODE_16696_length_1381_cov_203,25
14,Nsylvestris_NODE_317_length_6644_cov_42,25
15,Nsylvestris_NODE_193_length_7420_cov_158,24
16,Nsylvestris_NODE_115_length_8164_cov_61,23
17,Nsylvestris_NODE_2102_length_3992_cov_144,23
18,Nsylvestris_NODE_3329_length_3464_cov_235,23
19,Nsylvestris_NODE_125_length_8095_cov_230,22
20,Nsylvestris_NODE_2499_length_3794_cov_72,22
21,Nsylvestris_NODE_1297_length_4596_cov_158,21
22,Nsylvestris_NODE_15577_length_1492_cov_250,21
23,Nsylvestris_NODE_23_length_11494_cov_57,20
24,Nsylvestris_NODE_1345_length_4555_cov_43,19
25,Nsylvestris_NODE_24_length_11473_cov_75,19
26,Nsylvestris_NODE_70_length_9016_cov_142,19
27,Nsylvestris_NODE_9336_length_2203_cov_54,18
28,Nsylvestris_NODE_2275_length_3904_cov_144,17
29,Nsylvestris_NODE_2546_length_3771_cov_33,17
30,Nsylvestris_NODE_6347_length_2689_cov_99,17
31,Nsylvestris_NODE_3816_length_3296_cov_33,16
32,Nsylvestris_NODE_13448_length_1712_cov_184,15
33,Nsylvestris_NODE_3190_length_3512_cov_63,15
34,Nsylvestris_NODE_66_length_9108_cov_114,15
35,Nsylvestris_NODE_10422_length_2059_cov_215,14
36,Nsylvestris_NODE_105_length_8362_cov_192,14
37,Nsylvestris_NODE_1509_length_4393_cov_144,14
38,Nsylvestris_NODE_16170_length_1433_cov_28,14
39,Nsylvestris_NODE_2212_length_3932_cov_100,14
40,Nsylvestris_NODE_3451_length_3418_cov_192,14
41,Nsylvestris_NODE_444_length_6121_cov_134,14
42,Nsylvestris_NODE_7553_length_2477_cov_162,14
43,Nsylvestris_NODE_8661_length_2299_cov_196,14
44,Nsylvestris_NODE_12710_length_1794_cov_226,13
45,Nsylvestris_NODE_14550_length_1595_cov_28,13
46,Nsylvestris_NODE_16735_length_1378_cov_14,13
47,Nsylvestris_NODE_645_length_5569_cov_176,13
48,Nsylvestris_NODE_834_length_5182_cov_48,13
49,Nsylvestris_NODE_997_length_4960_cov_218,13
50,Nsylvestris_NODE_1319_length_4577_cov_126,12
51,Nsylvestris_NODE_13545_length_1701_cov_156,12
52,Nsylvestris_NODE_1588_length_4338_cov_173,12
53,Nsylvestris_NODE_2127_length_3976_cov_29,12
54,Nsylvestris_NODE_2477_length_3806_cov_53,12
55,Nsylvestris_NODE_282_length_6797_cov_185,12
56,Nsylvestris_NODE_3215_length_3502_cov_68,12
57,Nsylvestris_NODE_3343_length_3458_cov_206,12
58,Nsylvestris_NODE_3661_length_3346_cov_198,12
59,Nsylvestris_NODE_3886_length_3272_cov_84,12
60,Nsylvestris_NODE_5806_length_2799_cov_122,12
61,Nsylvestris_NODE_5899_length_2782_cov_225,12
62,Nsylvestris_NODE_80_length_8804_cov_211,12
63,Nsylvestris_NODE_885_length_5106_cov_110,12
64,Nsylvestris_NODE_894_length_5095_cov_234,12
65,Nsylvestris_NODE_120_length_8132_cov_55,11
66,Nsylvestris_NODE_1542_length_4361_cov_96,11
67,Nsylvestris_NODE_1947_length_4088_cov_271,11
