,GeneID,Sylv60A,Sylv60B,Sylv60C,QM2460A,QM2460C,QM2560A,QM2560B,QM2560C,TAB09560A,TAB09560B,TAB09560C,TABC60A,TABC60B,TABC60C,Tom60A,Tom60B,Tom60C
3240,Nsylvestris_NODE_12917_length_1772_cov_200,0.056,0,0.251,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0
4171,Nsylvestris_NODE_13755_length_1678_cov_225,65.444,112.643,104.669,333.901,245.466,321.635,206.328,327.631,143.808,292.13,153.651,237.284,348.157,309.63,0.611,1.002,0.901
4791,Nsylvestris_NODE_14312_length_1619_cov_212,153.702,286.853,345.921,246.528,259.12,225.017,118.419,206.392,113.458,202.006,172.823,212.02,252.201,314.148,12.705,13.412,11.471
6126,Nsylvestris_NODE_15514_length_1500_cov_222,17.2,130.357,66.618,97.893,108.306,188.85,151.282,219.706,26.373,50.991,125.464,109.545,155.399,207.036,5.794,3.273,0.498
6470,Nsylvestris_NODE_15824_length_1466_cov_202,91.782,134.032,119.476,279.094,292.173,242.499,171.996,308.105,45.34,86.497,91.238,239.222,268.018,308.718,19.958,18.028,20.912
7566,Nsylvestris_NODE_16810_length_1371_cov_224,1.238,2.828,2.673,7.593,3.128,22.521,15.941,22.771,6.839,21.619,6.588,1.4,1.615,0,0,0,0
25169,Nsylvestris_NODE_32653_length_365_cov_193,49.722,50.512,46.062,81.874,79.368,47.983,95.354,66.532,52.856,31.495,44.942,94.465,121.488,58.4,0.343,0.617,0.418
30480,Nsylvestris_NODE_4044_length_3219_cov_205,3.665,2.265,4.966,7.422,3.818,29.836,26.802,41.571,54.637,158.303,44.774,13.063,14.961,7.108,0.544,0.878,0.52
30755,Nsylvestris_NODE_4292_length_3153_cov_190,35.103,76.323,89.763,29.443,35.206,81.361,32.191,60.206,6.337,10.401,20.693,23.852,15.633,30.563,0,0,0
33743,Nsylvestris_NODE_6982_length_2572_cov_107,8.99,13.388,19.386,5.805,7.267,10.768,7.236,9.559,11.133,23.064,11.23,12.783,16.522,12.369,6.375,7.149,4.278
34204,Nsylvestris_NODE_7397_length_2505_cov_84,39.901,54.969,57.657,94.084,98.933,85.901,90.763,107.823,43.777,69.275,44.506,109.971,113.454,125.993,0,0,0
38855,Ntome_NODE_11583_length_2004_cov_299,0.352,0.161,0.547,587.801,535.712,628.883,460.997,674.749,161.715,296.969,295.647,476.864,580.519,546.317,594.726,411.481,521.446
38991,Ntome_NODE_11705_length_1990_cov_273,0.893,1.951,2.483,66.785,70.019,142.095,82.38,91.989,56.374,111.567,124.156,83.923,63.487,139.624,136.254,97.654,105.77
39857,Ntome_NODE_12485_length_1899_cov_72,0,0.27,0.926,37.918,35.967,30.974,34.948,42.742,20.474,12.104,15.111,38.304,61.904,53.916,54.469,73.13,42
41829,Ntome_NODE_1425_length_4603_cov_264,0,0.227,0,0.171,0.381,0.269,0.994,0.738,0.164,0.105,0.347,0,0.293,0,0.38,0.341,0.527
45046,Ntome_NODE_17155_length_1434_cov_311,0,0.3,0.41,162.511,168.976,236.283,101.498,288.783,29.422,50.875,89.56,187.105,270.729,313.19,297.322,288.752,171.239
45511,Ntome_NODE_17574_length_1395_cov_290,0.077,0,0,6.748,2.985,42.318,26.774,46.204,35.966,102.857,23.724,4.123,8.261,1.239,35.292,46.174,32.94
51546,Ntome_NODE_23004_length_983_cov_98,0,0.205,0.349,25.585,19.375,19.145,17.789,38.287,145.709,108.711,105.275,51.949,81.884,43.485,57.262,69.747,40.008
52332,Ntome_NODE_23712_length_942_cov_283,1.372,1.016,0.737,129.198,121.544,126.25,118.349,155.809,35.267,56.553,43.276,85.805,101.507,109.331,106.398,121.096,118.442
55984,Ntome_NODE_269_length_6958_cov_177,0.042,0,0.167,8.953,10.395,17.495,12.036,11.761,38.358,55.632,32.068,35.749,31.526,35.937,44.445,42.865,40.814
61907,Ntome_NODE_3232_length_3609_cov_134,0.922,0.987,0.744,193.594,197.189,202.509,118.923,195.713,28.056,34.83,57.414,167.409,205.865,252.965,196.755,238.956,242.62
65454,Ntome_NODE_35522_length_353_cov_288,0,0,0.387,65.23,82.425,56.871,47.11,74.245,32.35,26.458,50.635,29.24,54.066,41.412,58.051,46.102,32.962
68046,Ntome_NODE_37856_length_291_cov_297,0,0,0.501,321.176,336.513,288.986,212.36,383.916,145.644,239.017,183.359,367.633,472.518,336.69,389.265,374.967,305.152
71035,Ntome_NODE_458_length_6137_cov_152,0,0.153,0.235,3.466,3.009,10.244,7.74,15.516,23.325,62.57,17.572,2.05,4.727,2.67,26.527,26.295,17.484
71094,Ntome_NODE_4642_length_3174_cov_75,0,0.095,0.22,156.313,193.287,130.521,94.164,181.597,19.96,22.691,47.257,115.74,146.9,169.511,151.834,176.742,163.417
71660,Ntome_NODE_5151_length_3044_cov_142,0.049,0,0.053,142.682,137.339,128.705,74.668,136.958,54.375,82.568,76.943,129.363,145.609,196.097,125.768,107.444,131.964
