Gene,comp,X,sampleA,sampleB,logFC,logCPM,PValue,FDR,prog
sANS,01sylvtomf,Nsylvestris_NODE_4044_length_3219_cov_205,Sylv60,Tom60,2.391888672,1.55059343,0.000997092,0.001190856,sylv
sCHI,01sylvtomf,Nsylvestris_NODE_32653_length_365_cov_193,Sylv60,Tom60,6.765708675,5.082590484,7.38E-08,3.44E-06,sylv
sCHI,01sylvtomf,Nsylvestris_NODE_7397_length_2505_cov_84,Sylv60,Tom60,10.80969976,5.121449461,1.35E-06,6.13E-06,sylv
sCHS,01sylvtomf,Nsylvestris_NODE_15514_length_1500_cov_222,Sylv60,Tom60,4.564415339,5.668008869,0.011869294,0.01298913,sylv
sCHS,01sylvtomf,Nsylvestris_NODE_13755_length_1678_cov_225,Sylv60,Tom60,6.765480947,6.02372088,4.19E-06,1.17E-05,sylv
sDFR,01sylvtomf,Nsylvestris_NODE_16810_length_1371_cov_224,Sylv60,Tom60,6.250407594,0.613446046,5.24E-05,8.06E-05,sylv
sF3'H,01sylvtomf,Nsylvestris_NODE_4292_length_3153_cov_190,Sylv60,Tom60,11.10769067,5.512357748,4.48E-05,7.05E-05,sylv
sF3H,01sylvtomf,Nsylvestris_NODE_14312_length_1619_cov_212,Sylv60,Tom60,4.309545766,7.548460696,0.000121885,0.000169545,sylv
sFLS,01sylvtomf,Nsylvestris_NODE_15824_length_1466_cov_202,Sylv60,Tom60,2.55733912,6.529566166,4.62E-05,7.24E-05,sylv
tAN1,01sylvtomf,Ntome_NODE_269_length_6958_cov_177,Sylv60,Tom60,-9.088166777,4.872496231,4.28E-06,1.19E-05,tomf
tAN2,01sylvtomf,Ntome_NODE_23004_length_983_cov_98,Sylv60,Tom60,-8.836458462,5.259048187,3.84E-05,6.19E-05,tomf
tANS,01sylvtomf,Ntome_NODE_458_length_6137_cov_152,Sylv60,Tom60,-7.870054355,4.012229236,3.89E-05,6.27E-05,tomf
tCHI,01sylvtomf,Ntome_NODE_12485_length_1899_cov_72,Sylv60,Tom60,-8.426685785,5.286875514,0.000152901,0.000207771,tomf
tCHI,01sylvtomf,Ntome_NODE_23712_length_942_cov_283,Sylv60,Tom60,-6.771432874,6.317353615,3.71E-08,3.44E-06,tomf
tCHS,01sylvtomf,Ntome_NODE_17155_length_1434_cov_311,Sylv60,Tom60,-10.76977988,7.434345645,1.97E-05,3.59E-05,tomf
tCHS,01sylvtomf,Ntome_NODE_11583_length_2004_cov_299,Sylv60,Tom60,-10.52808591,8.444499852,1.15E-07,3.44E-06,tomf
tDFR,01sylvtomf,Ntome_NODE_17574_length_1395_cov_290,Sylv60,Tom60,-9.850477727,4.709170744,9.28E-07,5.18E-06,tomf
tF3'H,01sylvtomf,Ntome_NODE_11705_length_1990_cov_273,Sylv60,Tom60,-6.054361391,6.296890144,4.24E-06,1.18E-05,tomf
tF3H,01sylvtomf,Ntome_NODE_35522_length_353_cov_288,Sylv60,Tom60,-9.318163026,4.970355152,6.90E-05,0.000102406,tomf
tF3H,01sylvtomf,Ntome_NODE_37856_length_291_cov_297,Sylv60,Tom60,-12.19269449,7.931668506,1.20E-05,2.44E-05,tomf
tF3H,01sylvtomf,Ntome_NODE_5151_length_3044_cov_142,Sylv60,Tom60,-10.99622285,6.380954865,3.13E-07,3.64E-06,tomf
tFLS,01sylvtomf,Ntome_NODE_3232_length_3609_cov_134,Sylv60,Tom60,-7.919345183,7.281674389,2.13E-08,3.44E-06,tomf
tFLS,01sylvtomf,Ntome_NODE_4642_length_3174_cov_75,Sylv60,Tom60,-10.86535878,6.813329149,2.40E-06,8.38E-06,tomf
sANS,02tab095sylv,Nsylvestris_NODE_4044_length_3219_cov_205,TAB09560,Sylv60,4.293349432,5.334198444,0.000508921,0.001313992,sylv
sDFR,02tab095sylv,Nsylvestris_NODE_16810_length_1371_cov_224,TAB09560,Sylv60,2.035660514,2.740343582,0.015176127,0.029409435,sylv
sF3'H,02tab095sylv,Nsylvestris_NODE_4292_length_3153_cov_190,TAB09560,Sylv60,-2.581255599,5.677531872,0.00295088,0.006667611,sylv
tAN1,02tab095sylv,Ntome_NODE_269_length_6958_cov_177,TAB09560,Sylv60,8.961123473,4.229171487,5.11E-06,2.49E-05,tomf
tAN2,02tab095sylv,Ntome_NODE_23004_length_983_cov_98,TAB09560,Sylv60,9.688694918,5.753440675,1.11E-05,4.56E-05,tomf
tANS,02tab095sylv,Ntome_NODE_458_length_6137_cov_152,TAB09560,Sylv60,7.927969388,3.936257691,0.000122378,0.000355931,tomf
tCHI,02tab095sylv,Ntome_NODE_12485_length_1899_cov_72,TAB09560,Sylv60,6.240197611,2.889420451,0.000713195,0.001797154,tomf
tCHI,02tab095sylv,Ntome_NODE_23712_length_942_cov_283,TAB09560,Sylv60,5.315811257,4.37631966,5.62E-06,2.68E-05,tomf
tCHS,02tab095sylv,Ntome_NODE_17155_length_1434_cov_311,TAB09560,Sylv60,8.215578808,4.669394996,0.000164744,0.000466733,tomf
tCHS,02tab095sylv,Ntome_NODE_11583_length_2004_cov_299,TAB09560,Sylv60,9.401959408,6.809357459,2.13E-06,1.32E-05,tomf
tDFR,02tab095sylv,Ntome_NODE_17574_length_1395_cov_290,TAB09560,Sylv60,9.990150258,4.577675083,2.12E-05,7.76E-05,tomf
tF3'H,02tab095sylv,Ntome_NODE_11705_length_1990_cov_273,TAB09560,Sylv60,5.704595147,5.476888533,5.48E-05,0.000174859,tomf
tF3H,02tab095sylv,Ntome_NODE_35522_length_353_cov_288,TAB09560,Sylv60,8.931247026,4.040971516,5.34E-05,0.00017104,tomf
tF3H,02tab095sylv,Ntome_NODE_37856_length_291_cov_297,TAB09560,Sylv60,11.19352051,6.398859705,1.46E-05,5.69E-05,tomf
tF3H,02tab095sylv,Ntome_NODE_5151_length_3044_cov_142,TAB09560,Sylv60,10.15080004,4.990794519,3.39E-07,3.95E-06,tomf
tFLS,02tab095sylv,Ntome_NODE_3232_length_3609_cov_134,TAB09560,Sylv60,5.31298902,4.213201523,4.11E-05,0.000136453,tomf
tFLS,02tab095sylv,Ntome_NODE_4642_length_3174_cov_75,TAB09560,Sylv60,8.054875374,3.755766884,4.23E-05,0.000139898,tomf
tAN1,03tabChusylv,Ntome_NODE_269_length_6958_cov_177,TABC60,Sylv60,8.751359172,3.967511912,2.32E-06,1.43E-05,tomf
tAN2,03tabChusylv,Ntome_NODE_23004_length_983_cov_98,TABC60,Sylv60,8.664179988,4.757899973,3.41E-05,0.000114563,tomf
