,GeneID,Sylv60A,Sylv60B,Sylv60C,QM2460A,QM2460C,QM2560A,QM2560B,QM2560C,TAB09560A,TAB09560B,TAB09560C,TABC60A,TABC60B,TABC60C,Tom60A,Tom60B,Tom60C
24,Nsylvestris_NODE_10021_length_2113_cov_116,4.425,4.757,5.558,6.258,6.827,3.773,5.99,4.213,3.452,3.976,4.206,2.879,3.502,4.394,0,0,0.132
61,Nsylvestris_NODE_10055_length_2110_cov_115,4.186,4.268,4.898,1.641,2.438,1.611,1.498,1.502,2.808,1.982,1.678,0.683,2.418,1.735,0,0,0
98,Nsylvestris_NODE_10089_length_2104_cov_175,6.373,7.388,7.753,6.185,6.375,6.305,6.55,6.708,3.977,3.825,3.568,7.741,10.082,11.513,0,0,0
101,Nsylvestris_NODE_10091_length_2104_cov_71,3.011,3.603,2.635,1.066,1.142,0.959,2.057,1.362,3.715,2.694,2.752,0.482,0.954,1.307,0.968,1.633,2.571
150,Nsylvestris_NODE_10135_length_2098_cov_204,3.222,1.856,3.782,5.854,3.735,4.489,3.933,6.224,3.507,3.218,3.389,3.507,3.794,5.903,0,0,0
176,Nsylvestris_NODE_10159_length_2094_cov_14,0,0,0.364,0,0,0.09,0,0.216,0,0,0,0.078,0,0,0,0.044,0
219,Nsylvestris_NODE_10198_length_2088_cov_224,43.031,37.599,52.501,42.413,36.657,39.338,43.611,46.955,29.159,35.529,36.71,36.679,36.058,25.584,0.03,0,0.073
224,Nsylvestris_NODE_10201_length_2088_cov_18,0.499,0.906,0.888,1.519,1.07,0.78,0.602,1.744,1.103,2.192,0.94,1.759,1.041,1.498,0,0,0
259,Nsylvestris_NODE_10233_length_2084_cov_105,7.288,8.55,7.662,10.716,8.897,6.599,8.733,4.455,7.375,6.553,9.284,9.243,6.396,7.582,0.276,0.16,0.33
263,Nsylvestris_NODE_10237_length_2083_cov_212,15.877,21.163,25.537,15.456,16.057,15.5,9.601,7.968,11.854,16.978,13.881,16.189,11.221,13.53,0,0.007,0
319,Nsylvestris_NODE_10288_length_2077_cov_159,14.907,8.397,14.192,3.723,4.948,4.936,3.779,5.651,3.9,2.705,3.915,5.221,5.681,7.773,0,0,0
