,GeneID,Sylv85A,Sylv85B,Sylv85C,QM2485A,QM2485B,QM2485C,QM2585A,QM2585B,QM2585C,TAB09585A,TAB09585B,TAB09585C,TABC85A,TABC85B,TABC85C,Tom85B,Tom85C
24,Nsylvestris_NODE_10021_length_2113_cov_116,4.402,3.518,4.604,4.477,4.243,2.529,3.754,1.325,1.948,1.83,0.961,2.321,2.106,2.286,1.113,0.216,0
61,Nsylvestris_NODE_10055_length_2110_cov_115,3.431,4.539,4.265,3.963,3.165,3.113,2.778,2.686,2.514,2.372,3.591,2.557,3.459,3.455,3.021,0.034,0.007
98,Nsylvestris_NODE_10089_length_2104_cov_175,7.301,6.45,6.892,6.385,5.366,4.824,5.272,4.594,5.732,4.982,3.823,1.848,10.077,9.395,6.625,0,0
101,Nsylvestris_NODE_10091_length_2104_cov_71,2.225,2.208,2.973,1.119,1.995,1.102,1.642,1.118,1.381,2.469,2.497,1.418,0.483,0.835,0.445,1.086,1.589
150,Nsylvestris_NODE_10135_length_2098_cov_204,2.703,1.296,3.983,4.489,2.442,4.046,2.383,3.95,3.039,5.047,4.298,3.545,2.331,2.38,1.177,0,0
176,Nsylvestris_NODE_10159_length_2094_cov_14,0.047,0.065,0.123,0.171,0.183,0.298,0.086,0.79,0.552,0.184,0,0.247,0.193,0,0.827,0.121,0.027
219,Nsylvestris_NODE_10198_length_2088_cov_224,48.341,40.157,41.689,34.243,30.203,24.732,29.744,23.273,30.125,22.745,24.241,25.881,22.884,24.896,23.31,0.074,0
224,Nsylvestris_NODE_10201_length_2088_cov_18,0.517,0.963,0.873,1.234,1.628,0.999,0.803,0.377,0.442,0.888,1.37,1.128,1.268,1.43,0.413,0,0
259,Nsylvestris_NODE_10233_length_2084_cov_105,6.11,9.194,6.387,7.321,6.479,6.99,4.754,7.377,4.903,6.704,6.463,6.102,4.351,7.641,5.851,0.101,0.276
263,Nsylvestris_NODE_10237_length_2083_cov_212,17.39,19.17,13.906,11.171,10.71,6.42,9.248,8.774,7.265,9.185,9.999,10.604,8.272,10.355,12.127,0,0
319,Nsylvestris_NODE_10288_length_2077_cov_159,7.309,5.958,8.162,1.93,2.5,1.453,1.025,1.592,2.141,2.545,1.436,3.578,1.805,1.754,1.77,0,0
345,Nsylvestris_NODE_10310_length_2074_cov_143,12.965,6.385,7.996,4.066,5.779,4.85,4.408,5.882,4.82,7.766,7.259,4.448,6.306,5.251,7.261,0,0
381,Nsylvestris_NODE_10343_length_2070_cov_45,0,0.036,0,0,0,0,0.099,0,0,0.065,0,0,0.333,0,0,0,0
400,Nsylvestris_NODE_10360_length_2068_cov_73,3.455,3.048,3.219,2.958,3.027,1.128,1.766,2.285,2.707,1.516,1.094,1.826,2.041,1.628,1.06,0.04,0
