,GeneID,Sylv95A,Sylv95B,Sylv95C,QM2495A,QM2495B,QM2595A,QM2595B,QM2595C,TAB09595A,TAB09595B,TAB09595C,TABC95A,TABC95B,TABC95C,Tom95A,Tom95B,Tom95C
24,Nsylvestris_NODE_10021_length_2113_cov_116,3.073,2.431,1.711,2.43,2.482,1.08,1.231,1.681,1.026,2.775,1.186,2.529,0.987,0.581,0,0.043,0
61,Nsylvestris_NODE_10055_length_2110_cov_115,5.694,3.518,4.865,3.836,3.408,2.967,2.691,2.929,3.952,3.354,3.495,3.625,2.582,4.601,0.043,0.036,0
98,Nsylvestris_NODE_10089_length_2104_cov_175,4.598,5.233,5.655,4.658,4.221,5.3,4.502,2.942,3.066,2.823,3.287,4.536,4.985,5.681,0,0,0
101,Nsylvestris_NODE_10091_length_2104_cov_71,4.928,3.212,2.828,0.977,1.281,2.011,0.821,0.814,2.693,3.248,2.944,1.769,0.464,1.754,0.863,0.231,1.604
150,Nsylvestris_NODE_10135_length_2098_cov_204,2.554,1.927,0.937,3.193,3.191,1.676,1.521,2.837,2.191,2.067,2.361,1.628,2.903,4.066,0,0,0.022
176,Nsylvestris_NODE_10159_length_2094_cov_14,0.331,0.737,0.505,0.679,0.194,2.185,0.121,0.578,0.14,0.342,0.291,0.836,0.595,0.093,0,0,0
219,Nsylvestris_NODE_10198_length_2088_cov_224,29.456,24.313,30.802,18.693,23.562,21.511,26.938,20.909,17.136,19.569,21.573,20.772,13.718,18.891,0,0,0
224,Nsylvestris_NODE_10201_length_2088_cov_18,0.398,0.423,0.562,0.191,1.235,0.67,0.869,0.355,0.921,1.275,0.343,1.118,0.119,0,0.101,0,0
259,Nsylvestris_NODE_10233_length_2084_cov_105,9.946,10.189,6.723,9.46,6.954,3.674,6.24,5.884,7.274,7.216,5.815,7.76,8.756,9.108,0.18,0.086,0.247
263,Nsylvestris_NODE_10237_length_2083_cov_212,16.858,14.78,13.502,10.115,10.546,6.765,8.702,9.023,11.424,7.322,9.237,10.006,13.515,9.05,0,0,0
319,Nsylvestris_NODE_10288_length_2077_cov_159,6.453,3.379,3.708,1.215,1.43,1.39,1.774,1.248,1.177,1.039,1.113,0.532,1.023,0.836,0,0,0
345,Nsylvestris_NODE_10310_length_2074_cov_143,7.933,7.445,16.045,6.564,6.497,4.245,4.779,8.288,12.519,10.133,8.665,9.822,10.327,10.119,0.086,0.072,0
381,Nsylvestris_NODE_10343_length_2070_cov_45,0,0.036,0,0.167,0,0,0,0,0.548,0.071,0.614,0,0.488,0.093,0,0,0
400,Nsylvestris_NODE_10360_length_2068_cov_73,1.803,2.985,4.914,1.906,1.83,2.905,2.619,4.229,2.157,0.909,1.727,1.313,1.642,1.963,0.086,0.238,0.097
438,Nsylvestris_NODE_10395_length_2063_cov_14,0.939,0.46,0.562,0.751,0.389,0.261,0.362,0.25,0.14,0.071,1.144,0.076,0.178,0.279,0,0,0
463,Nsylvestris_NODE_10417_length_2060_cov_137,19.87,18.028,21.863,9.031,7.252,7.448,7.157,9.47,32.045,28.663,30.925,27.642,18.738,38.164,0,0,0
464,Nsylvestris_NODE_10418_length_2060_cov_114,3.02,3.569,3.683,5.719,4.003,3.761,3.391,3.586,3.66,4.074,4.618,2.811,3.712,3.311,0,0.05,0.052
473,Nsylvestris_NODE_10426_length_2059_cov_166,5.439,4.744,8.108,4.634,4.575,9.247,6.179,4.15,7.181,5.303,10.09,4.862,3.7,4.473,0.23,0,0.112
475,Nsylvestris_NODE_10428_length_2058_cov_162,7.482,6.605,5.223,7.065,7.686,7.944,8.014,8.393,10.328,6.72,9.892,12.882,10.743,8.283,0,0,0
506,Nsylvestris_NODE_10456_length_2056_cov_18,1.412,0.927,0.513,1.156,1.384,0.819,0.495,0.341,0.711,0.709,0.395,1.747,0.155,0,0,0.137,0.06
509,Nsylvestris_NODE_10459_length_2055_cov_159,5.852,6.795,6.478,3.098,3.591,3.724,4.272,3.822,2.961,1.653,4.546,2.171,1.951,2.707,0,0,0
512,Nsylvestris_NODE_10461_length_2055_cov_82,0.608,0.54,0.285,0.071,0.355,0.348,0.133,0.341,0.245,0.39,4.202,0.076,3.379,0.569,0.187,0,0
536,Nsylvestris_NODE_10483_length_2052_cov_214,21.102,32.341,30.655,13.939,17.18,28.822,22.967,23.011,39.808,34.402,42.689,34.447,20.499,23.061,0,0,0.052
562,Nsylvestris_NODE_10506_length_2050_cov_28,0.27,0.146,0.114,0.31,0.263,0.943,1.557,0.341,0.28,0,0,0,0.238,0,0.129,1.499,1.417
565,Nsylvestris_NODE_10509_length_2049_cov_198,20.591,13.313,5.688,4.92,5.936,18.905,8.823,6.094,5.199,9.365,7.375,6.121,3.605,4.775,0.065,0.173,0.202
