,Query.seq.ID,Subject.seq.ID,X.ID,Alignment.length,X..mismatches,X..gap.openings,start.in.query,end.in.query,start.in.subject,end.in.subject,evalue,bitscore,match.length.query,match.length.subject
241,Ntome_NODE_41_length_10213_cov_186,Nsylvestris_NODE_31_length_10192_cov_149,97.736,10157,195,8,71,10213,40,10175,0,17450,10142,10135
702,Ntome_NODE_138_length_7978_cov_141,Nsylvestris_NODE_122_length_8122_cov_92,97.722,7989,141,13,1,7976,62,8022,0,13706,7975,7960
1591,Ntome_NODE_311_length_6659_cov_97,Nsylvestris_NODE_263_length_6934_cov_93,95.917,6612,208,18,55,6610,194,6799,0,10658,6555,6605
1761,Ntome_NODE_351_length_6498_cov_169,Nsylvestris_NODE_359_length_6446_cov_171,97.08,6405,159,12,36,6422,33,6427,0,10767,6386,6394
2224,Ntome_NODE_442_length_6185_cov_261,Nsylvestris_NODE_481_length_6006_cov_227,98.062,5986,83,9,88,6051,7,5981,0,10381,5963,5974
2274,Ntome_NODE_454_length_6143_cov_308,Nsylvestris_NODE_429_length_6174_cov_233,97.895,5892,103,7,3,5888,6120,244,0,10174,5885,5876
2837,Ntome_NODE_569_length_5831_cov_290,Nsylvestris_NODE_632_length_5617_cov_228,96.078,5635,161,27,169,5785,20,5612,0,9127,5616,5592
3432,Ntome_NODE_712_length_5539_cov_171,Nsylvestris_NODE_9641_length_2159_cov_203,95.06,2085,67,14,3422,5481,29,2102,0,3247,2059,2073
3783,Ntome_NODE_796_length_5390_cov_268,Nsylvestris_NODE_710_length_5408_cov_215,96.411,5377,135,16,43,5381,19,5375,0,8807,5338,5356
4067,Ntome_NODE_866_length_5276_cov_251,Nsylvestris_NODE_872_length_5122_cov_205,95.885,5128,155,27,29,5143,4,5088,0,8250,5114,5084
4105,Ntome_NODE_875_length_5260_cov_302,Nsylvestris_NODE_749_length_5353_cov_163,80,105,16,5,3211,3312,2784,2886,2.95E-11,73.1,101,102
4899,Ntome_NODE_1065_length_5003_cov_107,Nsylvestris_NODE_15414_length_1511_cov_145,86.493,422,54,3,4501,4920,449,29,5.13E-128,460,419,420
