"","Query.seq.ID","Subject.seq.ID","X.ID","Alignment.length","X..mismatches","X..gap.openings","start.in.query","end.in.query","start.in.subject","end.in.subject","evalue","bitscore","match.length.query","match.length.subject"
"183","Nsylvestris_NODE_31_length_10192_cov_149","Ntome_NODE_41_length_10213_cov_186",97.736,10157,195,8,40,10175,71,10213,0,17450,10135,10142
"433","Nsylvestris_NODE_81_length_8791_cov_210","Ntome_NODE_77_length_8856_cov_268",97.295,8723,208,14,74,8791,25,8724,0,14776,8717,8699
"434","Nsylvestris_NODE_82_length_8789_cov_19","Ntome_NODE_51_length_9742_cov_60",78.893,3956,776,47,4702,8627,5578,1652,0,2625,3925,3926
"640","Nsylvestris_NODE_122_length_8122_cov_92","Ntome_NODE_138_length_7978_cov_141",97.722,7989,141,13,62,8022,1,7976,0,13706,7960,7975
"649","Nsylvestris_NODE_124_length_8100_cov_69","Ntome_NODE_2522_length_3898_cov_200",86.614,127,16,1,70,196,571,696,4.75e-31,139,126,125
"834","Nsylvestris_NODE_160_length_7658_cov_230","Ntome_NODE_162_length_7696_cov_302",97.652,7667,163,7,1,7658,31,7689,0,13145,7657,7658
"905","Nsylvestris_NODE_175_length_7533_cov_28","Ntome_NODE_1290_length_4743_cov_26",85.092,1516,191,21,3778,5262,4157,2646,0,1515,1484,1511
"1049","Nsylvestris_NODE_205_length_7311_cov_116","Ntome_NODE_109_length_8334_cov_78",97.06,7142,192,7,35,7162,8334,1197,0,12009,7127,7137
"1109","Nsylvestris_NODE_219_length_7205_cov_36","Ntome_NODE_4576_length_3187_cov_50",94.103,2781,131,14,4423,7191,2787,28,0,4196,2768,2759
"1303","Nsylvestris_NODE_263_length_6934_cov_93","Ntome_NODE_311_length_6659_cov_97",95.917,6612,208,18,194,6799,55,6610,0,10658,6605,6555
"1320","Nsylvestris_NODE_268_length_6861_cov_46","Ntome_NODE_146_length_7881_cov_69",97.273,5831,150,3,165,5992,2057,7881,0,9878,5827,5824
"1512","Nsylvestris_NODE_315_length_6651_cov_86","Ntome_NODE_21373_length_1090_cov_65",88.406,69,5,3,491,557,1016,949,2.4e-13,80.5,66,67
"1692","Nsylvestris_NODE_348_length_6485_cov_17","Ntome_NODE_16218_length_1519_cov_285",96.61,59,2,0,6155,6213,467,409,6.45e-19,99,58,58
"1736","Nsylvestris_NODE_359_length_6446_cov_171","Ntome_NODE_351_length_6498_cov_169",97.08,6405,159,12,33,6427,36,6422,0,10767,6394,6386
"1766","Nsylvestris_NODE_367_length_6417_cov_133","Ntome_NODE_364_length_6448_cov_107",98.133,6053,108,3,344,6392,381,6432,0,10547,6048,6051
"2018","Nsylvestris_NODE_417_length_6227_cov_125","Ntome_NODE_24255_length_909_cov_43",81.197,117,22,0,5665,5781,332,216,8.01e-18,95.3,116,116
"2074","Nsylvestris_NODE_429_length_6174_cov_233","Ntome_NODE_454_length_6143_cov_308",97.895,5892,103,7,244,6120,5888,3,0,10174,5876,5885
"2217","Nsylvestris_NODE_463_length_6057_cov_159","Ntome_NODE_391_length_6343_cov_169",97.28,5808,149,3,259,6057,6297,490,0,9841,5798,5807
"2290","Nsylvestris_NODE_481_length_6006_cov_227","Ntome_NODE_442_length_6185_cov_261",98.062,5986,83,9,7,5981,88,6051,0,10381,5974,5963
"2321","Nsylvestris_NODE_489_length_5990_cov_82","Ntome_NODE_50_length_9746_cov_61",96.968,5672,139,7,325,5990,4071,9715,0,9491,5665,5644
"2348","Nsylvestris_NODE_496_length_5976_cov_196","Ntome_NODE_381_length_6392_cov_208",97.989,5966,108,5,1,5960,6059,100,0,10342,5959,5959
"2525","Nsylvestris_NODE_536_length_5858_cov_27","Ntome_NODE_207_length_7386_cov_127",75.37,540,113,14,5052,5581,3249,2720,2.54e-62,243,529,529
"2708","Nsylvestris_NODE_573_length_5765_cov_181","Ntome_NODE_821_length_5351_cov_301",96.641,5031,158,4,743,5765,231,5258,0,8344,5022,5027
"2836","Nsylvestris_NODE_600_length_5707_cov_34","Ntome_NODE_9819_length_2222_cov_239",92.469,239,12,2,5036,5273,1614,1381,1.1e-90,337,237,233
"2947","Nsylvestris_NODE_623_length_5646_cov_160","Ntome_NODE_868_length_5269_cov_120",95.506,89,4,0,254,342,1922,1834,2.56e-32,143,88,88
"2962","Nsylvestris_NODE_628_length_5634_cov_44","Ntome_NODE_9421_length_2278_cov_63",88.034,234,24,4,5219,5451,404,174,8.67e-72,274,232,230
