,Query.seq.ID,Subject.seq.ID,X.ID,Alignment.length,X..mismatches,X..gap.openings,start.in.query,end.in.query,start.in.subject,end.in.subject,evalue,bitscore,match.length.query,match.length.subject
183,Nsylvestris_NODE_31_length_10192_cov_149,Ntome_NODE_41_length_10213_cov_186,97.736,10157,195,8,40,10175,71,10213,0,17450,10135,10142
640,Nsylvestris_NODE_122_length_8122_cov_92,Ntome_NODE_138_length_7978_cov_141,97.722,7989,141,13,62,8022,1,7976,0,13706,7960,7975
649,Nsylvestris_NODE_124_length_8100_cov_69,Ntome_NODE_2522_length_3898_cov_200,86.614,127,16,1,70,196,571,696,4.75E-31,139,126,125
1303,Nsylvestris_NODE_263_length_6934_cov_93,Ntome_NODE_311_length_6659_cov_97,95.917,6612,208,18,194,6799,55,6610,0,10658,6605,6555
1736,Nsylvestris_NODE_359_length_6446_cov_171,Ntome_NODE_351_length_6498_cov_169,97.08,6405,159,12,33,6427,36,6422,0,10767,6394,6386
2074,Nsylvestris_NODE_429_length_6174_cov_233,Ntome_NODE_454_length_6143_cov_308,97.895,5892,103,7,244,6120,5888,3,0,10174,5876,5885
2290,Nsylvestris_NODE_481_length_6006_cov_227,Ntome_NODE_442_length_6185_cov_261,98.062,5986,83,9,7,5981,88,6051,0,10381,5974,5963
2836,Nsylvestris_NODE_600_length_5707_cov_34,Ntome_NODE_9819_length_2222_cov_239,92.469,239,12,2,5036,5273,1614,1381,1.10E-90,337,237,233
2972,Nsylvestris_NODE_632_length_5617_cov_228,Ntome_NODE_569_length_5831_cov_290,96.078,5635,161,27,20,5612,169,5785,0,9127,5592,5616
3299,Nsylvestris_NODE_710_length_5408_cov_215,Ntome_NODE_796_length_5390_cov_268,96.411,5377,135,16,19,5375,43,5381,0,8807,5356,5338
3367,Nsylvestris_NODE_726_length_5395_cov_45,Ntome_NODE_37071_length_309_cov_4,90.566,318,20,6,3333,3649,309,1,1.69E-113,412,316,308
3453,Nsylvestris_NODE_749_length_5353_cov_163,Ntome_NODE_875_length_5260_cov_302,80,105,16,5,2784,2886,3211,3312,3.22E-11,73.1,102,101
3853,Nsylvestris_NODE_845_length_5164_cov_145,Ntome_NODE_2778_length_3777_cov_226,95.896,3338,135,1,106,3443,92,3427,0,5404,3337,3335
3966,Nsylvestris_NODE_872_length_5122_cov_205,Ntome_NODE_866_length_5276_cov_251,95.885,5128,155,27,4,5088,29,5143,0,8250,5084,5114
4257,Nsylvestris_NODE_925_length_5053_cov_43,Ntome_NODE_1132_length_4916_cov_30,96.469,4899,158,7,1,4898,4885,1,0,8074,4897,4884
4482,Nsylvestris_NODE_989_length_4970_cov_182,Ntome_NODE_1143_length_4904_cov_140,96.394,4908,121,27,109,4970,4902,5,0,8032,4861,4897
4753,Nsylvestris_NODE_1054_length_4875_cov_139,Ntome_NODE_1183_length_4859_cov_78,94.595,37,2,0,2680,2716,3897,3861,8.21E-07,58.4,36,36
5201,Nsylvestris_NODE_1158_length_4748_cov_123,Ntome_NODE_1099_length_4946_cov_245,96.375,4662,149,7,52,4698,81,4737,0,7655,4646,4656
5340,Nsylvestris_NODE_1191_length_4709_cov_224,Ntome_NODE_1139_length_4908_cov_252,97.342,4627,92,13,2,4625,4599,1,0,7834,4623,4598
5393,Nsylvestris_NODE_1205_length_4701_cov_118,Ntome_NODE_35011_length_374_cov_4,91.733,375,30,1,3926,4300,374,1,8.40E-146,520,374,373
5472,Nsylvestris_NODE_1227_length_4677_cov_68,Ntome_NODE_38371_length_281_cov_2,88.06,134,11,2,3304,3432,267,134,9.77E-36,154,128,133
6447,Nsylvestris_NODE_1454_length_4445_cov_170,Ntome_NODE_1752_length_4341_cov_22,96.204,4347,140,13,73,4403,4,4341,0,7090,4330,4337
6527,Nsylvestris_NODE_1475_length_4421_cov_114,Ntome_NODE_2286_length_4014_cov_121,95.832,3959,122,12,447,4378,42,3984,0,6357,3931,3942
6555,Nsylvestris_NODE_1483_length_4412_cov_12,Ntome_NODE_1417_length_4614_cov_68,93.462,4451,233,14,1,4412,4578,147,0,6554,4411,4431
6607,Nsylvestris_NODE_1496_length_4403_cov_97,Ntome_NODE_1676_length_4407_cov_65,95.602,4184,151,7,52,4216,238,4407,0,6676,4164,4169
6630,Nsylvestris_NODE_1502_length_4395_cov_193,Ntome_NODE_2523_length_3897_cov_215,96.717,3868,91,14,371,4217,45,3897,0,6407,3846,3852
