"","Query.seq.ID","n"
"1","Ntome_NODE_21216_length_1100_cov_11",111
"2","Ntome_NODE_31505_length_571_cov_11",65
"3","Ntome_NODE_492_length_6036_cov_151",64
"4","Ntome_NODE_221_length_7267_cov_247",53
"5","Ntome_NODE_373_length_6424_cov_190",45
"6","Ntome_NODE_27_length_10936_cov_229",32
"7","Ntome_NODE_271_length_6955_cov_297",31
"8","Ntome_NODE_1148_length_4900_cov_33",27
"9","Ntome_NODE_421_length_6241_cov_267",25
"10","Ntome_NODE_13_length_12303_cov_100",23
"11","Ntome_NODE_17148_length_1435_cov_303",22
"12","Ntome_NODE_1410_length_4621_cov_184",20
"13","Ntome_NODE_46_length_9810_cov_171",20
"14","Ntome_NODE_6274_length_2792_cov_281",20
"15","Ntome_NODE_1506_length_4530_cov_206",18
"16","Ntome_NODE_1744_length_4349_cov_249",18
"17","Ntome_NODE_2375_length_3973_cov_244",18
"18","Ntome_NODE_33912_length_423_cov_168",18
"19","Ntome_NODE_544_length_5904_cov_263",18
"20","Ntome_NODE_6510_length_2746_cov_190",18
"21","Ntome_NODE_1858_length_4265_cov_32",17
"22","Ntome_NODE_25887_length_811_cov_14",17
"23","Ntome_NODE_6349_length_2778_cov_286",17
"24","Ntome_NODE_6805_length_2694_cov_196",17
"25","Ntome_NODE_12299_length_1922_cov_30",16
"26","Ntome_NODE_2018_length_4160_cov_53",16
"27","Ntome_NODE_22944_length_986_cov_280",16
"28","Ntome_NODE_63_length_9368_cov_144",16
"29","Ntome_NODE_17638_length_1389_cov_260",15
"30","Ntome_NODE_549_length_5898_cov_170",15
"31","Ntome_NODE_654_length_5672_cov_147",15
"32","Ntome_NODE_7403_length_2585_cov_37",15
"33","Ntome_NODE_19322_length_1250_cov_69",14
"34","Ntome_NODE_29329_length_655_cov_44",14
"35","Ntome_NODE_316_length_6641_cov_148",14
"36","Ntome_NODE_7482_length_2573_cov_268",14
"37","Ntome_NODE_13237_length_1815_cov_297",13
"38","Ntome_NODE_14532_length_1682_cov_101",13
"39","Ntome_NODE_1535_length_4510_cov_147",13
"40","Ntome_NODE_11731_length_1988_cov_269",12
"41","Ntome_NODE_121_length_8132_cov_193",12
"42","Ntome_NODE_13562_length_1780_cov_227",12
"43","Ntome_NODE_16907_length_1456_cov_115",12
"44","Ntome_NODE_1896_length_4239_cov_145",12
"45","Ntome_NODE_2424_length_3947_cov_109",12
"46","Ntome_NODE_275_length_6939_cov_272",12
"47","Ntome_NODE_2754_length_3787_cov_233",12
"48","Ntome_NODE_3496_length_3518_cov_129",12
"49","Ntome_NODE_491_length_6040_cov_149",12
"50","Ntome_NODE_4944_length_3099_cov_163",12
"51","Ntome_NODE_5454_length_2973_cov_77",12
"52","Ntome_NODE_8009_length_2489_cov_296",12
"53","Ntome_NODE_10433_length_2142_cov_55",11
"54","Ntome_NODE_1194_length_4844_cov_234",11
"55","Ntome_NODE_12926_length_1849_cov_163",11
"56","Ntome_NODE_14747_length_1661_cov_15",11
"57","Ntome_NODE_1587_length_4464_cov_168",11
"58","Ntome_NODE_18_length_11985_cov_96",11
"59","Ntome_NODE_1856_length_4267_cov_240",11
"60","Ntome_NODE_1905_length_4233_cov_209",11
"61","Ntome_NODE_2039_length_4148_cov_175",11
"62","Ntome_NODE_2410_length_3955_cov_49",11
"63","Ntome_NODE_2524_length_3897_cov_182",11
"64","Ntome_NODE_27215_length_747_cov_136",11
"65","Ntome_NODE_274_length_6942_cov_111",11
"66","Ntome_NODE_2994_length_3702_cov_125",11
"67","Ntome_NODE_30893_length_593_cov_4",11
"68","Ntome_NODE_33621_length_438_cov_191",11
"69","Ntome_NODE_3758_length_3433_cov_292",11
"70","Ntome_NODE_3769_length_3430_cov_164",11
"71","Ntome_NODE_482_length_6076_cov_133",11
"72","Ntome_NODE_4902_length_3111_cov_156",11
"73","Ntome_NODE_6658_length_2719_cov_183",11
"74","Ntome_NODE_6694_length_2713_cov_178",11
"75","Ntome_NODE_6954_length_2663_cov_42",11
"76","Ntome_NODE_8225_length_2455_cov_157",11
"77","Ntome_NODE_890_length_5241_cov_95",11
"78","Ntome_NODE_925_length_5198_cov_131",11
"79","Ntome_NODE_996_length_5097_cov_253",11
"80","Ntome_NODE_1057_length_5011_cov_72",10
"81","Ntome_NODE_1058_length_5010_cov_303",10
"82","Ntome_NODE_1203_length_4832_cov_55",10
"83","Ntome_NODE_1204_length_4831_cov_224",10
"84","Ntome_NODE_122_length_8123_cov_161",10
"85","Ntome_NODE_12558_length_1892_cov_58",10
"86","Ntome_NODE_1305_length_4716_cov_147",10
"87","Ntome_NODE_1330_length_4699_cov_181",10
"88","Ntome_NODE_13722_length_1765_cov_266",10
"89","Ntome_NODE_1728_length_4360_cov_146",10
"90","Ntome_NODE_1743_length_4350_cov_133",10
"91","Ntome_NODE_1986_length_4183_cov_158",10
"92","Ntome_NODE_206_length_7389_cov_143",10
"93","Ntome_NODE_2146_length_4085_cov_158",10
"94","Ntome_NODE_266_length_6987_cov_134",10
"95","Ntome_NODE_2795_length_3773_cov_157",10
"96","Ntome_NODE_3056_length_3677_cov_158",10
"97","Ntome_NODE_3242_length_3607_cov_244",10
"98","Ntome_NODE_3551_length_3500_cov_79",10
"99","Ntome_NODE_36_length_10356_cov_49",10
"100","Ntome_NODE_3602_length_3481_cov_275",10
"101","Ntome_NODE_4258_length_3276_cov_73",10
"102","Ntome_NODE_4588_length_3185_cov_67",10
