,A,B,overlap
1,Nsylvestris_NODE_81_length_8791_cov_210,Nsylvestris_NODE_1_length_19140_cov_79,Nsylvestris_NODE_31_length_10192_cov_149
2,Nsylvestris_NODE_82_length_8789_cov_19,Nsylvestris_NODE_470_length_6031_cov_12,Nsylvestris_NODE_122_length_8122_cov_92
3,Nsylvestris_NODE_160_length_7658_cov_230,Nsylvestris_NODE_419_length_6212_cov_98,Nsylvestris_NODE_124_length_8100_cov_69
4,Nsylvestris_NODE_175_length_7533_cov_28,Nsylvestris_NODE_1085_length_4831_cov_262,Nsylvestris_NODE_263_length_6934_cov_93
5,Nsylvestris_NODE_205_length_7311_cov_116,Nsylvestris_NODE_258_length_6946_cov_183,Nsylvestris_NODE_359_length_6446_cov_171
6,Nsylvestris_NODE_219_length_7205_cov_36,Nsylvestris_NODE_379_length_6394_cov_159,Nsylvestris_NODE_429_length_6174_cov_233
7,Nsylvestris_NODE_268_length_6861_cov_46,Nsylvestris_NODE_1538_length_4371_cov_113,Nsylvestris_NODE_481_length_6006_cov_227
8,Nsylvestris_NODE_315_length_6651_cov_86,Nsylvestris_NODE_10301_length_2075_cov_38,Nsylvestris_NODE_600_length_5707_cov_34
9,Nsylvestris_NODE_348_length_6485_cov_17,Nsylvestris_NODE_495_length_5979_cov_90,Nsylvestris_NODE_632_length_5617_cov_228
10,Nsylvestris_NODE_367_length_6417_cov_133,Nsylvestris_NODE_470_length_6031_cov_12,Nsylvestris_NODE_710_length_5408_cov_215
11,Nsylvestris_NODE_417_length_6227_cov_125,Nsylvestris_NODE_535_length_5858_cov_220,Nsylvestris_NODE_726_length_5395_cov_45
12,Nsylvestris_NODE_463_length_6057_cov_159,Nsylvestris_NODE_102_length_8418_cov_231,Nsylvestris_NODE_749_length_5353_cov_163
13,Nsylvestris_NODE_489_length_5990_cov_82,Nsylvestris_NODE_10559_length_2042_cov_212,Nsylvestris_NODE_845_length_5164_cov_145
14,Nsylvestris_NODE_496_length_5976_cov_196,Nsylvestris_NODE_1027_length_4901_cov_151,Nsylvestris_NODE_872_length_5122_cov_205
