Ploidy,Species,dev,sylvgeneID,tomfgeneID,prog_ratio,prog_ratio_bias,poly_homeolog_ratio,homeolog_ratio_bias
01synth,QM24a,60,Nsylvestris_NODE_10055_length_2110_cov_115,Ntome_NODE_10957_length_2079_cov_155,0.489786545,tomf,0.31107157,tomf
01synth,QM24a,60,Nsylvestris_NODE_10089_length_2104_cov_175,Ntome_NODE_9451_length_2274_cov_281,0.344493144,tomf,0.289228126,tomf
01synth,QM24a,60,Nsylvestris_NODE_10135_length_2098_cov_204,Ntome_NODE_9851_length_2218_cov_244,0.395580106,tomf,0.649041203,sylv
01synth,QM24a,60,Nsylvestris_NODE_10198_length_2088_cov_224,Ntome_NODE_10130_length_2181_cov_268,0.451484629,tomf,0.460658159,tomf
01synth,QM24a,60,Nsylvestris_NODE_10201_length_2088_cov_18,Ntome_NODE_14475_length_1688_cov_25,0.212287827,tomf,0.318443427,tomf
01synth,QM24a,60,Nsylvestris_NODE_10233_length_2084_cov_105,Ntome_NODE_10792_length_2097_cov_112,0.594091645,sylv,0.658713312,sylv
01synth,QM24a,60,Nsylvestris_NODE_10237_length_2083_cov_212,Ntome_NODE_9525_length_2266_cov_286,0.465499416,tomf,0.385604784,tomf
01synth,QM24a,60,Nsylvestris_NODE_10288_length_2077_cov_159,Ntome_NODE_7062_length_2645_cov_35,0.754331877,sylv,0.528145512,sylv
01synth,QM24a,60,Nsylvestris_NODE_10310_length_2074_cov_143,Ntome_NODE_10512_length_2130_cov_287,0.638244097,sylv,0.372703862,tomf
01synth,QM24a,60,Nsylvestris_NODE_10395_length_2063_cov_14,Ntome_NODE_12238_length_1929_cov_27,0.637833992,sylv,0.565282347,sylv
01synth,QM24a,60,Nsylvestris_NODE_10417_length_2060_cov_137,Ntome_NODE_11605_length_2002_cov_273,0.884327654,sylv,0.595261662,sylv
01synth,QM24a,60,Nsylvestris_NODE_10418_length_2060_cov_114,Ntome_NODE_12995_length_1843_cov_104,0.687469516,sylv,0.729332336,sylv
01synth,QM24a,60,Nsylvestris_NODE_10426_length_2059_cov_166,Ntome_NODE_10635_length_2114_cov_173,0.49996232,tomf,0.509154434,sylv
01synth,QM24a,60,Nsylvestris_NODE_10428_length_2058_cov_162,Ntome_NODE_10868_length_2088_cov_216,0.482734683,tomf,0.4241398,tomf
01synth,QM24a,60,Nsylvestris_NODE_10456_length_2056_cov_18,Ntome_NODE_15327_length_1602_cov_15,0.489534262,tomf,0.518177106,sylv
01synth,QM24a,60,Nsylvestris_NODE_10459_length_2055_cov_159,Ntome_NODE_12173_length_1937_cov_167,0.675487561,sylv,0.46597502,tomf
01synth,QM24a,60,Nsylvestris_NODE_10483_length_2052_cov_214,Ntome_NODE_11390_length_2026_cov_277,0.395340227,tomf,0.592638302,sylv
01synth,QM24a,60,Nsylvestris_NODE_10509_length_2049_cov_198,Ntome_NODE_11039_length_2067_cov_264,0.335596655,tomf,0.571011903,sylv
01synth,QM24a,60,Nsylvestris_NODE_10537_length_2046_cov_129,Ntome_NODE_10422_length_2143_cov_67,0.6000647,sylv,0.678272438,sylv
01synth,QM24a,60,Nsylvestris_NODE_1054_length_4875_cov_139,Ntome_NODE_1183_length_4859_cov_78,0.999999983,sylv,0.518296184,sylv
01synth,QM24a,60,Nsylvestris_NODE_10616_length_2035_cov_161,Ntome_NODE_12140_length_1941_cov_142,0.587098743,sylv,0.730121129,sylv
01synth,QM24a,60,Nsylvestris_NODE_10647_length_2032_cov_22,Ntome_NODE_12056_length_1951_cov_9,0.33213702,tomf,0.641311668,sylv
01synth,QM24a,60,Nsylvestris_NODE_10650_length_2031_cov_196,Ntome_NODE_11378_length_2028_cov_70,0.682336356,sylv,0.830743182,sylv
01synth,QM24a,60,Nsylvestris_NODE_10677_length_2029_cov_42,Ntome_NODE_11312_length_2036_cov_55,0.355849514,tomf,0.469008275,tomf
01synth,QM24a,60,Nsylvestris_NODE_10700_length_2025_cov_216,Ntome_NODE_12199_length_1931_cov_283,0.302098989,tomf,0.430995748,tomf
01synth,QM24a,60,Nsylvestris_NODE_10710_length_2024_cov_126,Ntome_NODE_11459_length_2018_cov_217,0.487484851,tomf,0.602712681,sylv
01synth,QM24a,60,Nsylvestris_NODE_10740_length_2021_cov_87,Ntome_NODE_14642_length_1673_cov_93,0.986355086,sylv,0.95756676,sylv
01synth,QM24a,60,Nsylvestris_NODE_10780_length_2016_cov_104,Ntome_NODE_12729_length_1869_cov_236,0.473265571,tomf,0.459730088,tomf
01synth,QM24a,60,Nsylvestris_NODE_10802_length_2013_cov_184,Ntome_NODE_12484_length_1899_cov_92,0.509247673,sylv,0.578558424,sylv
