"","Query.seq.ID","Subject.seq.ID","X.ID","Alignment.length","X..mismatches","X..gap.openings","start.in.query","end.in.query","start.in.subject","end.in.subject","evalue","bitscore","match.length.query","match.length.subject"
"1","Ntome_NODE_1_length_16607_cov_83","Nsylvestris_NODE_1_length_19140_cov_79",98.129,16624,248,22,21,16607,1801,18398,0,28917,16586,16597
"241","Ntome_NODE_41_length_10213_cov_186","Nsylvestris_NODE_31_length_10192_cov_149",97.736,10157,195,8,71,10213,40,10175,0,17450,10142,10135
"702","Ntome_NODE_138_length_7978_cov_141","Nsylvestris_NODE_122_length_8122_cov_92",97.722,7989,141,13,1,7976,62,8022,0,13706,7975,7960
"1048","Ntome_NODE_213_length_7347_cov_33","Nsylvestris_NODE_470_length_6031_cov_12",100,28,0,0,5296,5323,555,528,5.38e-05,52.8,27,27
"1229","Ntome_NODE_243_length_7128_cov_113","Nsylvestris_NODE_419_length_6212_cov_98",95.652,46,2,0,7072,7117,5050,5095,1.11e-11,75,45,45
"1276","Ntome_NODE_252_length_7064_cov_77","Nsylvestris_NODE_1085_length_4831_cov_262",80.856,4346,723,78,2223,6506,4458,160,0,3315,4283,4298
"1325","Ntome_NODE_265_length_6989_cov_204","Nsylvestris_NODE_258_length_6946_cov_183",97.032,6975,154,17,29,6979,1,6946,0,11684,6950,6945
"1547","Ntome_NODE_301_length_6721_cov_124","Nsylvestris_NODE_379_length_6394_cov_159",97.326,6358,163,7,183,6538,6353,1,0,10792,6355,6352
"1573","Ntome_NODE_306_length_6678_cov_26","Nsylvestris_NODE_1538_length_4371_cov_113",95.082,61,3,0,1,61,4103,4043,2.23e-18,97.1,60,60
"1591","Ntome_NODE_311_length_6659_cov_97","Nsylvestris_NODE_263_length_6934_cov_93",95.917,6612,208,18,55,6610,194,6799,0,10658,6555,6605
"1657","Ntome_NODE_323_length_6619_cov_19","Nsylvestris_NODE_10301_length_2075_cov_38",73.469,343,82,8,4759,5098,192,528,1.31e-25,121,339,336
"1761","Ntome_NODE_351_length_6498_cov_169","Nsylvestris_NODE_359_length_6446_cov_171",97.08,6405,159,12,36,6422,33,6427,0,10767,6386,6394
"2093","Ntome_NODE_415_length_6251_cov_172","Nsylvestris_NODE_495_length_5979_cov_90",96.035,5901,187,21,373,6245,49,5930,0,9557,5872,5881
"2224","Ntome_NODE_442_length_6185_cov_261","Nsylvestris_NODE_481_length_6006_cov_227",98.062,5986,83,9,88,6051,7,5981,0,10381,5963,5974
"2274","Ntome_NODE_454_length_6143_cov_308","Nsylvestris_NODE_429_length_6174_cov_233",97.895,5892,103,7,3,5888,6120,244,0,10174,5885,5876
"2343","Ntome_NODE_472_length_6098_cov_47","Nsylvestris_NODE_470_length_6031_cov_12",79.729,2728,503,35,1345,4057,4684,1992,0,1929,2712,2692
"2513","Ntome_NODE_495_length_6033_cov_297","Nsylvestris_NODE_535_length_5858_cov_220",97.698,5865,110,10,64,5912,5856,1,0,10059,5848,5855
"2604","Ntome_NODE_515_length_5978_cov_313","Nsylvestris_NODE_102_length_8418_cov_231",96.652,5973,168,13,19,5978,4,5957,0,9893,5959,5953
"2647","Ntome_NODE_526_length_5953_cov_134","Nsylvestris_NODE_10559_length_2042_cov_212",94.868,2007,78,11,3,1992,2018,20,0,3112,1989,1998
"2774","Ntome_NODE_552_length_5891_cov_62","Nsylvestris_NODE_1027_length_4901_cov_151",97.178,4040,114,0,1806,5845,543,4582,0,6830,4039,4039
"2814","Ntome_NODE_563_length_5853_cov_23","Nsylvestris_NODE_71_length_8986_cov_19",72.05,322,76,13,1395,1709,4329,4015,1.52e-14,84.2,314,314
"2830","Ntome_NODE_567_length_5837_cov_30","Nsylvestris_NODE_36942_length_253_cov_3",92.683,246,17,1,3955,4199,253,8,1.05e-95,353,244,245
"2837","Ntome_NODE_569_length_5831_cov_290","Nsylvestris_NODE_632_length_5617_cov_228",96.078,5635,161,27,169,5785,20,5612,0,9127,5616,5592
"2879","Ntome_NODE_579_length_5810_cov_102","Nsylvestris_NODE_11124_length_1973_cov_167",95.827,1246,30,6,4586,5810,719,1963,0,1993,1224,1244
"3257","Ntome_NODE_666_length_5627_cov_283","Nsylvestris_NODE_577_length_5757_cov_217",96.688,5585,132,16,10,5581,5754,210,0,9239,5571,5544
"3277","Ntome_NODE_672_length_5613_cov_39","Nsylvestris_NODE_1202_length_4705_cov_14",71.331,1458,362,41,2425,3846,3262,4699,2.19e-87,326,1421,1437
"3432","Ntome_NODE_712_length_5539_cov_171","Nsylvestris_NODE_9641_length_2159_cov_203",95.06,2085,67,14,3422,5481,29,2102,0,3247,2059,2073
