,A,B,overlap
1,Ntome_NODE_1_length_16607_cov_83,Ntome_NODE_77_length_8856_cov_268,Ntome_NODE_41_length_10213_cov_186
2,Ntome_NODE_213_length_7347_cov_33,Ntome_NODE_51_length_9742_cov_60,Ntome_NODE_138_length_7978_cov_141
3,Ntome_NODE_243_length_7128_cov_113,Ntome_NODE_162_length_7696_cov_302,Ntome_NODE_311_length_6659_cov_97
4,Ntome_NODE_252_length_7064_cov_77,Ntome_NODE_1290_length_4743_cov_26,Ntome_NODE_351_length_6498_cov_169
5,Ntome_NODE_265_length_6989_cov_204,Ntome_NODE_109_length_8334_cov_78,Ntome_NODE_442_length_6185_cov_261
6,Ntome_NODE_301_length_6721_cov_124,Ntome_NODE_4576_length_3187_cov_50,Ntome_NODE_454_length_6143_cov_308
7,Ntome_NODE_306_length_6678_cov_26,Ntome_NODE_146_length_7881_cov_69,Ntome_NODE_569_length_5831_cov_290
8,Ntome_NODE_323_length_6619_cov_19,Ntome_NODE_21373_length_1090_cov_65,Ntome_NODE_712_length_5539_cov_171
9,Ntome_NODE_415_length_6251_cov_172,Ntome_NODE_16218_length_1519_cov_285,Ntome_NODE_796_length_5390_cov_268
10,Ntome_NODE_472_length_6098_cov_47,Ntome_NODE_364_length_6448_cov_107,Ntome_NODE_866_length_5276_cov_251
11,Ntome_NODE_495_length_6033_cov_297,Ntome_NODE_24255_length_909_cov_43,Ntome_NODE_875_length_5260_cov_302
12,Ntome_NODE_515_length_5978_cov_313,Ntome_NODE_391_length_6343_cov_169,Ntome_NODE_1065_length_5003_cov_107
13,Ntome_NODE_526_length_5953_cov_134,Ntome_NODE_50_length_9746_cov_61,Ntome_NODE_1071_length_4997_cov_170
14,Ntome_NODE_552_length_5891_cov_62,Ntome_NODE_381_length_6392_cov_208,Ntome_NODE_1099_length_4946_cov_245
15,Ntome_NODE_563_length_5853_cov_23,Ntome_NODE_207_length_7386_cov_127,Ntome_NODE_1132_length_4916_cov_30
16,Ntome_NODE_567_length_5837_cov_30,Ntome_NODE_821_length_5351_cov_301,Ntome_NODE_1139_length_4908_cov_252
17,Ntome_NODE_579_length_5810_cov_102,Ntome_NODE_868_length_5269_cov_120,Ntome_NODE_1143_length_4904_cov_140
18,Ntome_NODE_666_length_5627_cov_283,Ntome_NODE_9421_length_2278_cov_63,Ntome_NODE_1150_length_4898_cov_30
19,Ntome_NODE_672_length_5613_cov_39,Ntome_NODE_9821_length_2222_cov_188,Ntome_NODE_1171_length_4873_cov_148
20,Ntome_NODE_722_length_5523_cov_201,Ntome_NODE_5868_length_2880_cov_74,Ntome_NODE_1183_length_4859_cov_78
21,Ntome_NODE_729_length_5505_cov_63,Ntome_NODE_2641_length_3843_cov_37,Ntome_NODE_1282_length_4750_cov_151
22,Ntome_NODE_777_length_5425_cov_249,Ntome_NODE_15_length_12070_cov_222,Ntome_NODE_1332_length_4699_cov_92
23,Ntome_NODE_786_length_5407_cov_259,Ntome_NODE_56_length_9642_cov_224,Ntome_NODE_1364_length_4663_cov_85
24,Ntome_NODE_814_length_5361_cov_301,Ntome_NODE_7697_length_2541_cov_81,Ntome_NODE_1417_length_4614_cov_68
25,Ntome_NODE_833_length_5338_cov_294,Ntome_NODE_5351_length_2997_cov_15,Ntome_NODE_1525_length_4517_cov_41
26,Ntome_NODE_836_length_5327_cov_252,Ntome_NODE_849_length_5308_cov_224,Ntome_NODE_1555_length_4491_cov_264
27,Ntome_NODE_839_length_5322_cov_110,Ntome_NODE_1142_length_4905_cov_21,Ntome_NODE_1593_length_4459_cov_160
28,Ntome_NODE_908_length_5215_cov_33,Ntome_NODE_1750_length_4343_cov_290,Ntome_NODE_1653_length_4420_cov_228
29,Ntome_NODE_934_length_5187_cov_285,Ntome_NODE_943_length_5172_cov_240,Ntome_NODE_1676_length_4407_cov_65
30,Ntome_NODE_949_length_5168_cov_79,Ntome_NODE_954_length_5159_cov_303,Ntome_NODE_1696_length_4385_cov_34
31,Ntome_NODE_958_length_5154_cov_213,Ntome_NODE_1288_length_4745_cov_155,Ntome_NODE_1752_length_4341_cov_22
32,Ntome_NODE_981_length_5116_cov_292,Ntome_NODE_1158_length_4886_cov_229,Ntome_NODE_1819_length_4295_cov_49
33,Ntome_NODE_991_length_5102_cov_77,Ntome_NODE_1222_length_4811_cov_114,Ntome_NODE_1900_length_4235_cov_126
34,Ntome_NODE_1083_length_4976_cov_69,Ntome_NODE_62_length_9425_cov_190,Ntome_NODE_1903_length_4234_cov_152
35,Ntome_NODE_1089_length_4965_cov_62,Ntome_NODE_13001_length_1842_cov_220,Ntome_NODE_1913_length_4227_cov_203
36,Ntome_NODE_1096_length_4954_cov_237,Ntome_NODE_390_length_6347_cov_174,Ntome_NODE_1952_length_4208_cov_51
37,Ntome_NODE_1114_length_4934_cov_251,Ntome_NODE_1637_length_4430_cov_36,Ntome_NODE_2060_length_4135_cov_74
38,Ntome_NODE_1141_length_4905_cov_158,Ntome_NODE_30796_length_596_cov_13,Ntome_NODE_2072_length_4128_cov_235
39,Ntome_NODE_1174_length_4867_cov_56,Ntome_NODE_2961_length_3715_cov_196,Ntome_NODE_2085_length_4115_cov_260
40,Ntome_NODE_1229_length_4799_cov_42,Ntome_NODE_374_length_6421_cov_111,Ntome_NODE_2102_length_4109_cov_77
41,Ntome_NODE_1258_length_4773_cov_108,Ntome_NODE_1650_length_4421_cov_190,Ntome_NODE_2121_length_4098_cov_51
42,Ntome_NODE_1285_length_4749_cov_57,Ntome_NODE_1298_length_4731_cov_94,Ntome_NODE_2253_length_4032_cov_53
43,Ntome_NODE_1286_length_4745_cov_279,Ntome_NODE_228_length_7228_cov_122,Ntome_NODE_2286_length_4014_cov_121
44,Ntome_NODE_1287_length_4745_cov_261,Ntome_NODE_1541_length_4502_cov_287,Ntome_NODE_2425_length_3946_cov_63
45,Ntome_NODE_1333_length_4697_cov_56,Ntome_NODE_16744_length_1472_cov_10,Ntome_NODE_2457_length_3927_cov_57
46,Ntome_NODE_1336_length_4695_cov_24,Ntome_NODE_23376_length_961_cov_183,Ntome_NODE_2469_length_3921_cov_71
47,Ntome_NODE_1344_length_4686_cov_245,Ntome_NODE_4088_length_3323_cov_153,Ntome_NODE_2522_length_3898_cov_200
48,Ntome_NODE_1345_length_4686_cov_49,Ntome_NODE_2344_length_3987_cov_221,Ntome_NODE_2523_length_3897_cov_215
49,Ntome_NODE_1352_length_4677_cov_27,Ntome_NODE_12046_length_1952_cov_142,Ntome_NODE_2543_length_3888_cov_80
50,Ntome_NODE_1360_length_4668_cov_84,Ntome_NODE_2041_length_4147_cov_275,Ntome_NODE_2550_length_3884_cov_245
51,Ntome_NODE_1376_length_4654_cov_58,Ntome_NODE_247_length_7111_cov_91,Ntome_NODE_2615_length_3852_cov_263
52,Ntome_NODE_1391_length_4641_cov_162,Ntome_NODE_405_length_6296_cov_301,Ntome_NODE_2640_length_3844_cov_44
53,Ntome_NODE_1418_length_4613_cov_296,Ntome_NODE_1365_length_4662_cov_273,Ntome_NODE_2688_length_3820_cov_60
54,Ntome_NODE_1470_length_4560_cov_135,Ntome_NODE_2175_length_4074_cov_162,Ntome_NODE_2737_length_3798_cov_115
55,Ntome_NODE_1472_length_4558_cov_41,Ntome_NODE_155_length_7801_cov_223,Ntome_NODE_2778_length_3777_cov_226
56,Ntome_NODE_1474_length_4556_cov_66,Ntome_NODE_114_length_8248_cov_183,Ntome_NODE_2791_length_3774_cov_273
57,Ntome_NODE_1533_length_4512_cov_82,Ntome_NODE_5020_length_3075_cov_95,Ntome_NODE_2853_length_3755_cov_60
58,Ntome_NODE_1542_length_4499_cov_296,Ntome_NODE_995_length_5098_cov_42,Ntome_NODE_2868_length_3750_cov_151
59,Ntome_NODE_1605_length_4447_cov_298,Ntome_NODE_948_length_5168_cov_80,Ntome_NODE_2870_length_3749_cov_250
60,Ntome_NODE_1612_length_4446_cov_208,Ntome_NODE_1428_length_4602_cov_80,Ntome_NODE_2898_length_3737_cov_129
61,Ntome_NODE_1623_length_4437_cov_13,Ntome_NODE_1020_length_5064_cov_272,Ntome_NODE_2911_length_3732_cov_164
62,Ntome_NODE_1648_length_4423_cov_294,Ntome_NODE_897_length_5233_cov_251,Ntome_NODE_2921_length_3728_cov_42
63,Ntome_NODE_1662_length_4415_cov_159,Ntome_NODE_1685_length_4397_cov_288,Ntome_NODE_2971_length_3711_cov_283
64,Ntome_NODE_1762_length_4335_cov_80,Ntome_NODE_13580_length_1778_cov_214,Ntome_NODE_3009_length_3696_cov_35
65,Ntome_NODE_1776_length_4329_cov_144,Ntome_NODE_2016_length_4161_cov_219,Ntome_NODE_3025_length_3689_cov_260
66,Ntome_NODE_1777_length_4329_cov_53,Ntome_NODE_2559_length_3879_cov_300,Ntome_NODE_3061_length_3674_cov_66
67,Ntome_NODE_1867_length_4262_cov_153,Ntome_NODE_458_length_6137_cov_152,Ntome_NODE_3065_length_3672_cov_96
68,Ntome_NODE_1930_length_4220_cov_271,Ntome_NODE_22_length_11398_cov_308,Ntome_NODE_3093_length_3660_cov_296
69,Ntome_NODE_1932_length_4220_cov_221,Ntome_NODE_19451_length_1236_cov_13,Ntome_NODE_3119_length_3650_cov_176
70,Ntome_NODE_1954_length_4207_cov_54,Ntome_NODE_2216_length_4051_cov_265,Ntome_NODE_3135_length_3645_cov_11
71,Ntome_NODE_1995_length_4177_cov_112,Ntome_NODE_1374_length_4655_cov_176,Ntome_NODE_3138_length_3643_cov_49
72,Ntome_NODE_2000_length_4174_cov_238,Ntome_NODE_328_length_6607_cov_250,Ntome_NODE_3160_length_3634_cov_51
73,Ntome_NODE_2051_length_4141_cov_88,Ntome_NODE_222_length_7262_cov_259,Ntome_NODE_3195_length_3623_cov_69
74,Ntome_NODE_2062_length_4133_cov_35,Ntome_NODE_1005_length_5084_cov_186,Ntome_NODE_3211_length_3618_cov_191
75,Ntome_NODE_2100_length_4110_cov_303,Ntome_NODE_18128_length_1348_cov_210,Ntome_NODE_3262_length_3601_cov_213
76,Ntome_NODE_2101_length_4110_cov_28,Ntome_NODE_16176_length_1524_cov_85,Ntome_NODE_3286_length_3592_cov_55
77,Ntome_NODE_2124_length_4095_cov_289,Ntome_NODE_3014_length_3694_cov_119,Ntome_NODE_3293_length_3590_cov_84
78,Ntome_NODE_2163_length_4079_cov_64,Ntome_NODE_3512_length_3513_cov_193,Ntome_NODE_3356_length_3566_cov_181
79,Ntome_NODE_2244_length_4037_cov_263,Ntome_NODE_2786_length_3775_cov_278,Ntome_NODE_3360_length_3566_cov_65
80,Ntome_NODE_2246_length_4031_cov_42,Ntome_NODE_25451_length_836_cov_4,Ntome_NODE_3406_length_3545_cov_180
81,Ntome_NODE_2260_length_4028_cov_63,Ntome_NODE_23395_length_960_cov_264,Ntome_NODE_3426_length_3539_cov_176
82,Ntome_NODE_2264_length_4026_cov_39,Ntome_NODE_18259_length_1337_cov_108,Ntome_NODE_3502_length_3516_cov_177
83,Ntome_NODE_2276_length_4017_cov_286,Ntome_NODE_7270_length_2610_cov_164,Ntome_NODE_3638_length_3471_cov_110
84,Ntome_NODE_2303_length_4004_cov_34,Ntome_NODE_377_length_6408_cov_117,Ntome_NODE_3662_length_3466_cov_240
85,Ntome_NODE_2312_length_4000_cov_241,Ntome_NODE_2329_length_3994_cov_164,Ntome_NODE_3664_length_3466_cov_92
86,Ntome_NODE_2319_length_3998_cov_205,Ntome_NODE_2243_length_4038_cov_279,Ntome_NODE_3716_length_3445_cov_78
87,Ntome_NODE_2322_length_3996_cov_293,Ntome_NODE_988_length_5108_cov_217,Ntome_NODE_3736_length_3439_cov_26
88,Ntome_NODE_2337_length_3991_cov_300,Ntome_NODE_2503_length_3905_cov_212,Ntome_NODE_3745_length_3436_cov_222
89,Ntome_NODE_2338_length_3990_cov_45,Ntome_NODE_2884_length_3745_cov_160,Ntome_NODE_3780_length_3427_cov_29
90,Ntome_NODE_2370_length_3977_cov_60,Ntome_NODE_1739_length_4353_cov_236,Ntome_NODE_3813_length_3415_cov_241
91,Ntome_NODE_2381_length_3969_cov_149,Ntome_NODE_371_length_6431_cov_247,Ntome_NODE_3856_length_3402_cov_309
92,Ntome_NODE_2433_length_3941_cov_53,Ntome_NODE_211_length_7361_cov_225,Ntome_NODE_3864_length_3400_cov_92
93,Ntome_NODE_2436_length_3939_cov_12,Ntome_NODE_255_length_7035_cov_303,Ntome_NODE_3875_length_3395_cov_278
94,Ntome_NODE_2441_length_3936_cov_262,Ntome_NODE_6779_length_2698_cov_48,Ntome_NODE_3883_length_3393_cov_141
95,Ntome_NODE_2451_length_3932_cov_69,Ntome_NODE_3174_length_3629_cov_221,Ntome_NODE_3940_length_3375_cov_76
96,Ntome_NODE_2468_length_3922_cov_130,Ntome_NODE_14087_length_1729_cov_7,Ntome_NODE_3942_length_3375_cov_34
97,Ntome_NODE_2488_length_3914_cov_20,Ntome_NODE_309_length_6664_cov_209,Ntome_NODE_4055_length_3333_cov_129
98,Ntome_NODE_2511_length_3902_cov_289,Ntome_NODE_6684_length_2715_cov_285,Ntome_NODE_4061_length_3331_cov_262
99,Ntome_NODE_2517_length_3901_cov_293,Ntome_NODE_998_length_5095_cov_262,Ntome_NODE_4160_length_3305_cov_210
100,Ntome_NODE_2533_length_3892_cov_289,Ntome_NODE_1276_length_4754_cov_105,Ntome_NODE_4181_length_3301_cov_161
101,Ntome_NODE_2568_length_3875_cov_19,Ntome_NODE_5630_length_2932_cov_38,Ntome_NODE_4186_length_3300_cov_252
102,Ntome_NODE_2600_length_3860_cov_32,Ntome_NODE_2653_length_3836_cov_138,Ntome_NODE_4260_length_3274_cov_215
103,Ntome_NODE_2610_length_3855_cov_36,Ntome_NODE_2485_length_3915_cov_93,Ntome_NODE_4262_length_3273_cov_206
104,Ntome_NODE_2631_length_3846_cov_232,Ntome_NODE_2623_length_3849_cov_293,Ntome_NODE_4268_length_3272_cov_34
105,Ntome_NODE_2654_length_3836_cov_113,Ntome_NODE_4604_length_3179_cov_19,Ntome_NODE_4300_length_3261_cov_38
106,Ntome_NODE_2655_length_3835_cov_36,Ntome_NODE_3597_length_3485_cov_223,Ntome_NODE_4317_length_3256_cov_116
107,Ntome_NODE_2661_length_3832_cov_272,Ntome_NODE_944_length_5170_cov_235,Ntome_NODE_4318_length_3256_cov_87
108,Ntome_NODE_2712_length_3805_cov_20,Ntome_NODE_385_length_6379_cov_149,Ntome_NODE_4319_length_3255_cov_289
109,Ntome_NODE_2742_length_3796_cov_63,Ntome_NODE_417_length_6246_cov_50,Ntome_NODE_4346_length_3251_cov_16
110,Ntome_NODE_2745_length_3794_cov_137,Ntome_NODE_26289_length_793_cov_10,Ntome_NODE_4399_length_3239_cov_104
111,Ntome_NODE_2784_length_3774_cov_104,Ntome_NODE_4962_length_3094_cov_202,Ntome_NODE_4414_length_3234_cov_164
112,Ntome_NODE_2790_length_3775_cov_52,Ntome_NODE_1440_length_4587_cov_168,Ntome_NODE_4415_length_3234_cov_105
113,Ntome_NODE_2793_length_3774_cov_124,Ntome_NODE_2892_length_3740_cov_246,Ntome_NODE_4430_length_3227_cov_156
114,Ntome_NODE_2816_length_3766_cov_303,Ntome_NODE_8547_length_2406_cov_262,Ntome_NODE_4531_length_3201_cov_292
115,Ntome_NODE_2877_length_3747_cov_177,Ntome_NODE_3458_length_3528_cov_36,Ntome_NODE_4534_length_3201_cov_155
116,Ntome_NODE_2899_length_3736_cov_295,Ntome_NODE_1492_length_4538_cov_94,Ntome_NODE_4573_length_3189_cov_33
117,Ntome_NODE_2943_length_3721_cov_155,Ntome_NODE_3130_length_3646_cov_196,Ntome_NODE_4587_length_3185_cov_86
118,Ntome_NODE_2944_length_3720_cov_136,Ntome_NODE_3609_length_3482_cov_290,Ntome_NODE_4606_length_3181_cov_254
119,Ntome_NODE_2979_length_3707_cov_280,Ntome_NODE_3527_length_3507_cov_85,Ntome_NODE_4611_length_3181_cov_76
120,Ntome_NODE_2980_length_3706_cov_286,Ntome_NODE_3089_length_3662_cov_174,Ntome_NODE_4678_length_3163_cov_294
121,Ntome_NODE_3001_length_3699_cov_223,Ntome_NODE_2670_length_3827_cov_258,Ntome_NODE_4706_length_3158_cov_238
122,Ntome_NODE_3002_length_3699_cov_132,Ntome_NODE_27223_length_747_cov_24,Ntome_NODE_4715_length_3156_cov_204
123,Ntome_NODE_3008_length_3696_cov_70,Ntome_NODE_4760_length_3144_cov_194,Ntome_NODE_4733_length_3152_cov_178
